stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,6.13,0,0,0,0,0,0,0
  7-9,15.77,7.89,0,5.26,0,0,10.51,0,0,0,2.63,0,0,0,0,0,0,102.52,0,0,0,60.46,0,0,0,0,0,0,0
 10-12,0,9.44,0,6.29,0,0,6.29,0,0,0,0,0,0,0,0,0,0,28.32,3.15,0,0,37.76,0,0,0,3.15,0,0,0
 14-21,0,0,1,1,4,1,3,0,1,1,0,0,0,0,0,4,3,33,0,0,0,0,0,12,1,12,12,0,0
 24-34,0,0,0.82,0.82,1.64,0.82,4.93,0.82,1.64,0,0,0,0,0,0,3.28,2.46,32.83,0,0,0.82,0,1.64,0,0,0.82,6.57,0.82,0
 36-46,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0.81,0,8.86,0,0.81,0,0,0,0,0,0,3.22,0.81,0
 48-58,0,0,0,0,0,0,4.59,0,2.3,0,0,0,0,0,0.57,1.72,0,10.9,0,0.57,0,0,0,0,0,0,0.57,0.57,1.15
 60-70,0,0,0,0,0,0,5.89,0,0,0,0,0,0,0,0,0,0,8.83,0,0,0,0,0.98,0,0,0,2.94,0.98,0
 72-82,0,0,0,0,1.96,0,10.8,0,0,0,0,0,0,0,0,0.98,0,7.85,0,0,0,0,0,0,0,0,2.94,0,0
 84-94,0,0,0,0,1.06,0,8.5,0,0,0,0,1.06,0,0,0,2.12,1.06,5.31,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,2.19,0,13.11,0,2.19,0,0,1.09,1.09,0,0,0,0,10.93,0,0,0,0,0,0,0,0,0,1.09,0
108-118,0,0,0,0,0,0,1.53,0.77,0,0,0,0,0,0.77,0,3.83,0,4.6,0,0,0,0,0.77,0,0,0,0,0.77,0
120,0,0,0,0,0,0,3.92,0,0,0,0,0,0,1.96,0,0,0,11.76,0,0,0,0,0,0,0,0,0,1.96,0
