stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,5.26,0,2.63,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,9.44,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,66,0,0,0,0,5,1,1,12,0,0,0,0
 24-34,0,0,0,7.39,0,3.28,0,0,0,0,0,0,0,0,0,0,0,2.46,0,0.82,77.16,100.14,3.28,1.64,0,0,4.93,0,0,37.76,0,0,0,2.46
 36-46,0,0,0.81,1.61,0,4.83,0,0,0,0.81,0,0,0,0,0,0,0,10.47,0,2.42,184.5,78.96,6.45,0,0,0,0.81,0,0,59.62,0,0.81,0,11.28
 48-58,0,0,0,1.72,0,8.03,0,0,0,3.44,0,0,0,0,0,0.57,0.57,13.2,0,0.57,234.69,53.94,10.9,1.15,0,0.57,0,0,0,37.3,0,0.57,0,3.44
 60-70,0.98,0,0.98,0,0.98,20.61,0,0,0,3.93,0,0.98,0,0.98,0,0.98,0,23.56,2.94,0,396.53,18.65,15.7,1.96,0,0,0.98,0,0,38.28,0.98,0.98,0,0.98
 72-82,0,0,0,1.96,0,34.36,0,0,0,10.8,0,0,0,0,0,1.96,0,48.1,3.93,1.96,498.68,10.8,18.65,3.93,0,0,0.98,0,0,32.39,0.98,0.98,4.91,1.96
 84-94,0,0,0,3.19,2.12,46.73,2.12,1.06,0,6.37,0,0,1.06,1.06,1.06,1.06,0,37.17,11.68,0,242.14,25.49,15.93,8.5,0,0,2.12,0,0,13.81,2.12,0,8.5,0
 96-106,0,0,0,4.37,0,37.16,0,1.09,1.09,18.58,1.09,0,1.09,0,0,0,1.09,41.53,10.93,5.46,268.84,7.65,36.06,7.65,0,4.37,1.09,0,0,6.56,1.09,0,17.49,0
108-118,0,0,0,1.53,0,36,1.53,0,0.77,7.66,0,0,0,0.77,0.77,1.53,0,34.47,8.43,1.53,294.13,12.26,21.45,13.79,0,0,0,0,0,9.19,0.77,0,9.19,0
120,0,0,0,3.92,1.96,27.44,0,0,0,11.76,1.96,0,1.96,1.96,0,1.96,0,45.08,3.92,0,339.04,13.72,17.64,11.76,0,0,0,0,0,5.88,1.96,5.88,25.48,0
