stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,316.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,116.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,34.62,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,3,14,1,0,30,0,0,0,2,0,0,0,0,2,0,0,0,0,7,1,0,3,170,2,0,2,0,0,1,0,1,0,3,75,0,0,0,0,0
 24-34,0,0,0,9.85,5.75,0,0,27.09,0,0,0,6.57,3.28,0,0.82,0,5.75,0,0,3.28,0,9.03,0.82,0,5.75,493.33,1.64,7.39,11.49,0,0,2.46,0,5.75,0,2.46,174.84,0,0,1.64,0,0
 36-46,0,0,0.81,0,3.22,0.81,0,49.15,0,0,0.81,12.89,4.03,0,0,0,11.28,0,0,3.22,0,38.67,1.61,0,1.61,812.92,0,11.28,6.45,0,0,1.61,0,1.61,0,0,183.69,0,0,0.81,0,0
 48-58,0,0,0,0,10.33,1.15,0,354.61,0,1.72,1.15,47.05,5.74,0,1.15,1.15,15.49,1.72,0.57,1.72,0,71.73,3.44,0,8.03,1390.33,0.57,10.33,6.89,0,1.15,2.87,0,0.57,1.15,0,295.51,0,0,1.15,0,1.72
 60-70,0,0,1.96,0,18.65,0,0,1204.33,0.98,3.93,3.93,97.17,12.76,0,3.93,0.98,18.65,0,1.96,1.96,0,136.43,3.93,1.96,6.87,2283.02,0.98,12.76,5.89,0,0,14.72,0,0.98,0,0,352.37,0,0.98,4.91,0.98,0
 72-82,0,0,5.89,0,31.41,5.89,0,1646.25,2.94,0.98,3.93,151.18,10.8,0,2.94,0.98,53.99,2.94,4.91,1.96,1.96,250.32,1.96,5.89,22.58,2342.25,0,16.69,13.74,0,1.96,10.8,0,0.98,0,0,267.01,14.72,5.89,9.82,6.87,2.94
 84-94,0,0,2.12,1.06,65.85,5.31,0,1161.87,4.25,4.25,6.37,118.95,7.43,1.06,3.19,3.19,75.4,6.37,4.25,1.06,0,132.75,4.25,8.5,8.5,1199.04,1.06,12.74,15.93,0,0,25.49,0,7.43,3.19,0,176.3,36.11,7.43,2.12,7.43,1.06
 96-106,0,0,7.65,0,62.29,5.46,1.09,857.88,2.19,1.09,1.09,102.73,9.84,0,2.19,9.84,113.66,2.19,2.19,4.37,1.09,140.98,6.56,5.46,5.46,1038.2,1.09,22.95,28.41,0,0,59.01,0,2.19,1.09,0,76.5,38.25,2.19,4.37,10.93,3.28
108-118,0,0,4.6,0,60.51,3.83,0,580.6,2.3,2.3,1.53,69.7,5.36,0,1.53,3.83,74.3,1.53,0.77,2.3,0,121.79,9.19,3.06,4.6,1135.92,1.53,17.62,19.92,0,0.77,58.98,0,3.06,0.77,0,52.09,62.04,3.06,3.06,13.02,1.53
120,0,0,1.96,0,60.75,3.92,3.92,589.9,1.96,5.88,1.96,82.31,13.72,0,0,7.84,47.03,5.88,1.96,7.84,0,125.43,3.92,1.96,5.88,1491.4,1.96,9.8,25.48,0,1.96,37.24,0,5.88,0,0,72.51,19.6,1.96,0,17.64,0
