stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,128.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.66,5.26,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,3.15,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,3,4,2,0,0,1,1,1,0,0,1,0,0,2,39,0,0,1,0,0,4,1,6,20,0,0,0
 24-34,0,0,0.82,0,2.46,0,0.82,0,0,0,0,0,4.1,0,0,1.64,27.91,0.82,0.82,0,0,1.64,0,0,1.64,9.85,0,0,0
 36-46,0,0,1.61,0,5.64,0,0,0,0,0,0,0.81,4.03,0,0.81,0,19.34,0,0.81,0,0.81,0,0,0,0,4.83,0,0,1.61
 48-58,0,0,0,0,6.89,0.57,0.57,0.57,0,0,0,0,5.16,0,0,0,9.75,0,0,0,0,0,0,0,0,2.87,0,0,0
 60-70,0,0,0.98,0,2.94,0,0,0.98,0,0,0,0,2.94,0,0,0,6.87,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,3.93,0,0,2.94,0,0,0,0,2.94,0.98,0,0,3.93,0,0,0,0,0,0,0,0,0.98,0,0,0.98
 84-94,0,0,0,0,2.12,0,0,4.25,0,0,0,0,1.06,0,0,1.06,1.06,0,0,0,0,0,0,0,0,1.06,0,1.06,0
 96-106,0,0,0,0,1.09,0,0,2.19,1.09,0,2.19,0,0,0,1.09,1.09,0,0,0,0,0,0,0,0,0,0,1.09,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0,0,0,3.06,0,0,0,0,0,0,0,0,0.77,0,0,0
120,0,0,3.92,0,1.96,0,0,0,0,0,0,0,1.96,0,0,0,3.92,0,0,0,0,0,0,0,0,0,0,0,0
