stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,26.36,856.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0
  5-6,0,85.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,5.26,0,0,0,0,0,0,0,0,13.14,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,0,1,0,7,3,4,6,0,0,1,1,6,0,141,647,1,0,0
 24-34,0,0,0,0,0,0.82,2.46,0.82,0,0,0.82,0,4.1,3.28,9.03,12.31,0,0.82,0,2.46,0,0.82,13.13,302.08,4.93,0,0
 36-46,0,0,0,0,0.81,0,1.61,4.03,0,0,0,0,3.22,2.42,2.42,7.25,0,0,0,0,0,0,1.61,9.67,0,0,0.81
 48-58,0,0,0,0,0,0,0.57,1.15,0.57,0,1.15,0,1.72,0,5.74,2.87,0,0,0,0,0,0,0.57,0,2.3,0,0
 60-70,0,0,0,0,0.98,0,1.96,10.8,0.98,0,0,0,1.96,1.96,6.87,0,0,0,0,0,0,0,0,0,1.96,0,0
 72-82,0,0,0,0,0,0,2.94,2.94,0,0.98,0.98,0,0.98,2.94,4.91,3.93,0,0.98,0,0,0,0,0,0,0,0,0
 84-94,0,0,3.19,0,1.06,1.06,3.19,6.37,0,0,2.12,1.06,2.12,2.12,4.25,2.12,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,1.09,0,1.09,0,3.28,5.46,0,0,2.19,2.19,1.09,0,4.37,4.37,0,0,0,0,0,0,0,0,0,1.09,0
108-118,0,0,0.77,0,0,0,2.3,6.13,0.77,0,0,0,0.77,0.77,7.66,3.06,0,0,0,0,0,0,0.77,0,0,0,0
120,0,0,1.96,0,1.96,0,3.92,11.76,0,1.96,0,0,1.96,1.96,5.88,9.8,0,0,0,0,0,0,0,0,1.96,0,0
