stage,eye,fin.mesenchyme,glial,heart,lateral.line,mesenchyme,neural,olfactory,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste
  7-9,0,0,0,0,0,0,7.89,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,3.15,0,0,0,0
 14-21,0,0,2,0,0,0,0,0,1,0,1,4,0
 24-34,0,0,0,0,0,0,0.82,0.82,0,0,0,0.82,0
 36-46,0.81,0,1.61,0,0,0.81,1.61,0,0,0,0,6.45,0
 48-58,0,0,0.57,0,0,0,1.15,0,0,0,0,1.15,0
 60-70,0,0,0,0,0,0,0,0.98,0,0,0,0,0
 72-82,0,0,4.91,0,0,0,0,0.98,0,0,0,2.94,0
 84-94,0,1.06,2.12,0,0,0,1.06,0,0,0,0,2.12,0
 96-106,0,0,1.09,0,0,1.09,0,0,0,1.09,0,1.09,0
108-118,0.77,0,3.06,0.77,0,0,1.53,1.53,0,0,0,1.53,0.77
120,0,0,1.96,0,1.96,0,0,3.92,0,0,0,0,1.96
