stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,hatching.gland,heart,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,periderm,somites,spinal.cord,vascular.smooth.muscle
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,5.26,0,0,0,42.06,0,5.26,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,3.15,0,0,0,56.65,0,9.44,0,3.15,0,0
 14-21,0,0,1,1,0,0,0,0,0,0,1,3,0,0,1,0,3,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.81,1.61,0,0,0,0,0,1.61,0
 48-58,0,0,0.57,0,0,0.57,0,0,0,0,0,2.87,0.57,0,0,0,0,0
 60-70,0,0,0.98,0,0,0,0.98,0,0,0.98,0,0,0,0,0,0,0,0
 72-82,0,0,0.98,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0
 84-94,0,0,0,0,3.19,0,0,0,0,1.06,0,0,0,0,0,0,0,1.06
 96-106,0,0,2.19,0,1.09,0,0,0,0,0,0,1.09,0,0,0,0,0,0
108-118,0,0,1.53,0,0,0,0,0,0.77,0,0.77,0,0,0,0.77,0,0,0
