stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,2,32,3,13,0,0,0,5,2,0,4,0,1,0,0,1,0,15,0,0,10,248,7,0,2,6,0,2,35,0,24,34,65,0,0,1,0,1
 24-34,0,0,4.93,1.64,34.48,48.43,0.82,0.82,2.46,0,0,1.64,0,0,0,0,0,0.82,22.98,0,0,20.52,224.91,1.64,0,0,0,0,4.1,0,0.82,22.16,36.12,46.79,0,0,4.93,0,0
 36-46,0,0,2.42,0,30.62,169.19,0.81,2.42,8.86,0,0,1.61,0.81,0,0,0,0,0,24.98,0,0.81,14.5,162.75,2.42,1.61,0.81,0,0,4.03,0,0.81,41.09,4.03,42.7,0,0,2.42,0,0.81
 48-58,0,0.57,5.74,0.57,47.63,152.63,1.15,0,21.23,0.57,0,2.3,0,0,0.57,0.57,0,0,26.4,0,1.15,18.36,95.83,1.72,0.57,1.72,0,0,2.87,0,0,35,0,25.82,0,0,2.87,0,0
 60-70,0,0,6.87,0.98,39.26,128.58,0,3.93,11.78,1.96,0,0.98,2.94,0,0,0,0,0.98,29.45,1.96,1.96,5.89,68.71,0,0.98,2.94,0,0,10.8,0,0.98,37.3,0,14.72,0,0,0,0,0.98
 72-82,0,0,3.93,0.98,33.38,60.86,0.98,1.96,17.67,0.98,0,1.96,2.94,0,0,0,0.98,1.96,39.27,0,4.91,6.87,56.94,0,0.98,1.96,0,0,1.96,0,0,11.78,0,3.93,0,0.98,2.94,1.96,0.98
 84-94,1.06,0,1.06,2.12,28.68,64.78,2.12,0,7.43,4.25,1.06,0,0,1.06,0,2.12,0,0,26.55,0,4.25,11.68,45.67,0,0,1.06,0,0,11.68,0,2.12,13.81,0,3.19,0,1.06,2.12,1.06,1.06
 96-106,1.09,0,5.46,1.09,13.11,48.09,1.09,0,14.21,2.19,0,1.09,3.28,1.09,1.09,1.09,0,0,29.51,0,2.19,5.46,24.04,1.09,1.09,1.09,0,1.09,14.21,0,0,26.23,0,1.09,1.09,3.28,3.28,4.37,2.19
108-118,0,0,7.66,0,17.62,34.47,0.77,0.77,13.02,2.3,0,0.77,0.77,1.53,0.77,1.53,0,0,24.51,0,2.3,9.96,30.64,0,1.53,0,0,0,8.43,0,1.53,20.68,0,1.53,3.83,0.77,1.53,0,3.06
120,0,0,3.92,5.88,5.88,27.44,1.96,0,5.88,0,0,0,3.92,0,1.96,0,1.96,0,23.52,0,0,5.88,25.48,3.92,0,3.92,0,0,5.88,0,0,7.84,0,1.96,1.96,0,0,1.96,0
