stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,42.91,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,3.15,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,42,0,0,0,0,0,1,36,0,0,0,0,0
 24-34,0,0,0.82,0.82,0,0,6.57,0,0,0,1.64,0,0,0,0,0,0,0,3.28,0,0,183.05,0,0,0,0,0.82,0,119.84,0,0,0.82,0,0
 36-46,0,0,0,2.42,0,0,12.09,0,0,0,3.22,0,0,0,0,0,0,0.81,3.22,0,1.61,254.59,0,1.61,0.81,0,0.81,0,148.24,0,0,0,0,0
 48-58,0,0,0,2.3,0,0,30.41,0,0.57,0.57,12.05,0,1.72,0,0.57,0,0,0,8.03,0,1.72,375.27,0,0,1.15,0,0.57,0,130.83,0,0,1.72,0,0.57
 60-70,0,0,0,0.98,0,0,84.41,0,0,0,8.83,0,0,2.94,0,0,0.98,0,9.82,0,0,504.5,0,0,0,0,1.96,0,129.56,0.98,0,0,0,0
 72-82,0,0,0,0.98,1.96,0,130.56,0.98,1.96,0.98,14.72,0,0,0,0,0,0,0,17.67,2.94,0.98,550.71,0,0,0,0,0,0,107,0,0,0,0,0
 84-94,0,0,0,4.25,2.12,0,96.65,0,1.06,0,12.74,0,0,0,1.06,0,0,0,12.74,2.12,4.25,310.11,0,0,2.12,0,3.19,0,60.54,0,1.06,3.19,0,1.06
 96-106,0,0,0,1.09,1.09,0,86.33,0,2.19,0,10.93,0,1.09,0,1.09,1.09,0,0,8.74,0,0,274.3,1.09,0,1.09,0,1.09,0,21.86,0,1.09,1.09,1.09,0
108-118,0,0,0,0.77,0.77,0.77,81.19,0.77,0,0,11.49,0,0,0,0,0,0,0,7.66,1.53,1.53,243.58,0,0,0.77,0,0.77,0,16.85,1.53,0.77,0,0.77,0
120,0,0,0,7.84,1.96,0,109.75,0,0,0,13.72,0,0,0,0,0,0,0,15.68,0,1.96,346.88,0,0,0,0,3.92,0,29.4,0,0,3.92,0,1.96
