stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,803.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0,0
  5-6,0,134.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,10.51,0,5.26,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.63,5.26,0,0,49.95,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,3.15,3.15,0,9.44,0,3.15,0,9.44,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,166.79,25.18,0,0,31.47,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,12,1,0,3,0,0,0,3,1,0,0,0,0,0,0,0,0,4,0,4,90,2,0,3,5,0,6,0,10,2,0,15,34,0,0,0,0
 24-34,0,0,0,0.82,5.75,0.82,0,14.78,0,0,0.82,4.93,0,0,0,0,0,0,0,0,0.82,13.95,0.82,8.21,185.51,1.64,4.93,3.28,0,0,10.67,0,0,0,0,4.1,50.07,0,5.75,0,0.82
 36-46,0,0,0,0,2.42,0,0,33.03,0,0,1.61,8.06,0,0,1.61,0.81,0,0,0.81,0,0,27.39,0,6.45,298.1,0,4.03,0.81,0,0,4.03,0,0,0,0,0,71.7,0,6.45,0,0.81
 48-58,0,0,0,0,2.87,0.57,0,60.25,0,0,1.72,14.92,0.57,0,0.57,0,1.72,1.72,0,0,1.15,32.13,1.15,3.44,269.11,0,3.44,1.72,0,0,2.87,0,0,0,0,0,60.82,0.57,2.3,0,0.57
 60-70,0,0,0,0,7.85,0,0,112.88,0,0.98,0.98,23.56,3.93,0,0,1.96,1.96,0,0,0,0,42.21,2.94,7.85,428.93,0.98,2.94,1.96,0,1.96,2.94,0,0,0.98,1.96,0,64.78,0.98,2.94,0.98,0.98
 72-82,0,0,0.98,0,6.87,3.93,0,119.76,0,1.96,1.96,27.49,0.98,0,0,0,2.94,0.98,1.96,0,0.98,71.66,0.98,4.91,351.43,1.96,4.91,11.78,0,0.98,4.91,0,0,0,0,0,34.36,1.96,7.85,1.96,0.98
 84-94,1.06,0,0,0,8.5,2.12,0,75.4,1.06,0,3.19,19.12,3.19,0,0,1.06,2.12,2.12,0,0,2.12,36.11,1.06,3.19,170.99,2.12,1.06,15.93,0,0,11.68,0,0,1.06,0,0,13.81,1.06,4.25,1.06,0
 96-106,0,0,1.09,0,10.93,2.19,3.28,64.48,2.19,1.09,0,25.14,1.09,0,0,2.19,2.19,0,4.37,1.09,0,36.06,4.37,1.09,170.48,0,2.19,6.56,0,1.09,13.11,0,0,1.09,0,0,9.84,0,4.37,1.09,1.09
108-118,0,0,0,0,13.79,2.3,2.3,55.15,1.53,0.77,1.53,31.4,2.3,0,0,0.77,1.53,7.66,5.36,2.3,1.53,35.23,0.77,6.13,192.26,0.77,5.36,11.49,0,0,4.6,0,0,0.77,0,0,5.36,1.53,6.89,1.53,1.53
120,0,0,0,1.96,9.8,0,5.88,43.12,0,0,3.92,21.56,5.88,0,0,0,5.88,1.96,1.96,0,0,25.48,3.92,5.88,231.25,0,1.96,11.76,0,1.96,3.92,0,0,0,0,0,17.64,0,3.92,0,0
