stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,26.29,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.5,3.15,0,0,18.88,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,1,26,3,0,2,0,0,0,4,1,0,0,0,0,0,0,0,10,0,3,98,2,1,2,2,0,2,11,2,7,43,0,0,2,0,0
 24-34,0,0,1.64,0,6.57,0.82,0,12.31,0,0.82,0,3.28,0,0,0,0,0.82,0,0,0,15.6,0,8.21,221.63,1.64,3.28,0.82,0,0,1.64,0.82,0,0.82,61.56,0,0,4.1,0,0
 36-46,0,0,0,0,4.03,0,0,47.53,0,0,0,11.28,0,0,0,0,0,0,0,0,34.64,1.61,12.09,683.21,0,5.64,3.22,0,0,4.03,0,0.81,0,157.91,0,0,4.83,0,0.81
 48-58,0,0,0,0,1.72,0,0,76.89,0,2.87,0.57,14.35,0,0,0,0,0,0,0,0.57,30.41,0.57,5.16,516.42,0.57,2.3,1.15,0,0,2.3,0,0,0,105.01,0,0,3.44,0,0.57
 60-70,0,0,0.98,0,0.98,0,0,175.69,0,0,1.96,36.32,0,0,0.98,1.96,0,0,2.94,0,56.93,0,5.89,735.16,0.98,5.89,1.96,0,0,3.93,0,0.98,0,110.91,0,0,0.98,0.98,3.93
 72-82,0,0,0,0,7.85,1.96,0,236.58,0,0,0.98,22.58,0.98,0,0.98,1.96,0,1.96,0.98,0,49.08,1.96,1.96,681.27,0,3.93,2.94,0,0.98,2.94,0,0,0,46.14,0,1.96,3.93,0,0.98
 84-94,1.06,0,0,0,3.19,3.19,0,100.89,1.06,1.06,1.06,23.36,0,0,0,2.12,1.06,1.06,1.06,0,24.43,2.12,1.06,295.25,0,1.06,0,0,0,7.43,0,1.06,0,32.92,2.12,1.06,3.19,0,0
 96-106,0,0,0,0,5.46,4.37,1.09,77.59,0,0,0,15.3,1.09,0,1.09,1.09,1.09,0,0,1.09,24.04,0,3.28,242.61,0,3.28,5.46,0,0,3.28,0,0,0,9.84,0,0,3.28,2.19,1.09
108-118,0,0,0.77,0,6.89,0,0,72,0,0,0.77,11.49,1.53,0,0.77,0.77,0,1.53,1.53,0,13.79,2.3,3.06,343.92,0,3.06,0.77,0,1.53,2.3,0,0,0,12.26,0.77,0.77,0.77,0,0.77
120,0,0,1.96,0,9.8,1.96,0,43.12,0,1.96,1.96,15.68,1.96,0,0,1.96,0,1.96,0,0,27.44,3.92,5.88,295.93,1.96,1.96,3.92,0,0,5.88,0,0,0,19.6,0,0,0,1.96,0
