stage,axial,blastomeres,endoderm,epidermis,eye,glial,hatching_gland,immune,ionocyte,mesenchyme,mural_cell,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,spinal_cord,vasculature
  3-4,724.79,15918.94,0,0,0,0,0,0,0,0,0,0,0,0,0,645.72,0,0,0
  5-6,269.7,5320.52,0,0,0,0,0,0,0,0,0,104.2,6.13,0,18.39,61.3,0,0,0
  7-9,2.63,2.63,5.26,0,7.89,0,2.63,0,0,0,0,157.72,2.63,0,57.83,0,57.83,0,0
 10-12,0,0,3.15,0,3.15,0,3.15,0,0,0,0,37.76,0,0,15.73,0,25.18,0,0
 14-21,0,0,0,0,0,0,0,1,0,0,0,11,0,0,0,1,5,2,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,0,1.64,0,0,0,0,0,1.64,0
 36-46,0,0,0,0,0.81,0.81,0,0,0,0,0,14.5,0,0.81,0,0,0,4.83,0
 48-58,0,0,0,0,1.15,0.57,0,3.44,0,0,0,2.3,0,0,0,0,0,0,0
 60-70,0,0,0,0,1.96,0,0,13.74,0,0,0,10.8,0,0,0,0,0,0.98,0
 72-82,0,0,0,0,5.89,0,0,18.65,0,0,0,11.78,0,0,0,0,0,0.98,0
 84-94,0,0,0,0,0,1.06,0,27.61,1.06,1.06,0,0,0,0,0,0,0,0,1.06
 96-106,0,0,0,3.28,1.09,0,0,29.51,0,1.09,1.09,0,0,0,0,2.19,0,0,0
108-118,0,0,0.77,0,0.77,0,0,23.74,0,0.77,0,3.06,0,0,0,0.77,0,0,0.77
120,0,0,0,0,0,0,0,48.99,0,0,0,0,0,0,0,0,0,0,3.92
