stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,110.33,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,7.89,0,15.77,0,0,7.89,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,89.38,5.26,0,0,92,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,12.59,0,0,22.03,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,110.14,28.32,0,0,84.97,0,0,0,3.15,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,0,2,0,12,22,1,0,0,0,7,1,2,2,0,1,0,0,0,12,0,0,5,93,4,2,0,3,0,0,0,5,1,1,2,48,0,0,20,0,0
 24-34,0,0,4.93,0,4.1,5.75,9.85,0,2.46,0.82,4.93,0.82,0.82,5.75,3.28,0,0,0.82,0,24.63,0.82,0,14.78,383.34,1.64,1.64,0.82,0,0,0,0,0,0,0,0.82,105.07,0,0,77.16,0,0
 36-46,0,0,0.81,0,2.42,0.81,19.34,0.81,1.61,0.81,8.06,0,0,3.22,4.03,0,0,0,0,20.14,0.81,0.81,11.28,839.51,0,3.22,0,0,0,2.42,0,0,0,0,0,153.08,0,0,49.95,0,0.81
 48-58,0,0,0.57,0,4.02,1.15,49.92,0,0.57,2.3,19.51,0,0,5.16,5.16,1.15,0,0,0.57,45.9,0,0.57,7.46,969.73,1.72,4.59,0,0,0,1.15,0,0,1.15,0,0,130.25,0,0,40.74,0,0
 60-70,0,0,0,0,3.93,0.98,114.84,0,0.98,2.94,30.43,0.98,0,4.91,10.8,0,0,0,0,74.6,0.98,0,6.87,1595.95,0.98,2.94,0,0,0.98,1.96,0,0,0,0.98,0,163.91,0,0.98,35.33,0.98,0.98
 72-82,0,0,2.94,0,7.85,1.96,166.88,0,0.98,1.96,41.23,0.98,0,9.82,7.85,1.96,1.96,0,0.98,109.95,0,6.87,8.83,1387.09,2.94,6.87,1.96,0,0,0,0,0,0,0,0,75.59,0,3.93,103.07,3.93,0.98
 84-94,0,0,3.19,0,14.87,0,141.25,0,0,3.19,42.48,2.12,0,5.31,35.05,0,2.12,0,0,67.97,0,3.19,3.19,660.59,2.12,6.37,4.25,0,1.06,1.06,0,0,0,0,0,48.85,1.06,1.06,92.4,1.06,2.12
 96-106,0,0,5.46,0,8.74,1.09,103.82,0,1.09,2.19,38.25,2.19,0,9.84,22.95,0,2.19,0,0,59.01,1.09,3.28,3.28,542.05,0,8.74,1.09,0,2.19,4.37,0,0,0,0,0,32.79,1.09,3.28,108.19,7.65,2.19
108-118,0,0,4.6,0,11.49,0.77,62.04,0,0.77,3.06,25.28,1.53,0,2.3,16.09,0,0,0,0,52.09,0.77,0.77,4.6,627.32,0.77,6.89,2.3,0,0.77,3.06,0,0,0.77,0,0,17.62,0,2.3,81.19,2.3,0
120,0,0,1.96,0,9.8,1.96,47.03,0,3.92,0,21.56,1.96,0,7.84,23.52,0,1.96,0,0,43.12,0,1.96,1.96,517.38,0,0,1.96,0,0,3.92,0,0,0,0,0,19.6,0,1.96,64.67,0,0
