stage,axial,blastomeres,endoderm,epidermis,eye,fast_muscle,glial,immune,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,25.18,3.15,0,12.59,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,5,0,2,0,0,3,0,4,9,0,0,0,0,0,3,1,4,3,0,0
 24-34,0,0,0,0,0,0,0,1.64,0,2.46,0,1.64,8.21,0,0,0,0.82,0,0,0,1.64,1.64,0,0
 36-46,0,0,0,0,0.81,0,0.81,4.03,0,0,0,0,3.22,0,0.81,0,0,0,0,0,0,0,0,0.81
 48-58,0,0,0,0,1.15,0,1.15,6.89,0.57,2.3,0,0.57,1.15,0,0,0,0,0,0,0,0,0.57,0.57,0.57
 60-70,0,0,0,0,0.98,0,0,15.7,0,3.93,0.98,0.98,0.98,0,0,0,0.98,0,0,0,0,0,2.94,0
 72-82,0,0,0,0,1.96,0,0,16.69,0,3.93,2.94,0,0.98,0,0.98,0,9.82,0.98,0,0,0,0.98,7.85,4.91
 84-94,0,0,0,1.06,3.19,0,0,26.55,0,4.25,1.06,0,2.12,0,0,0,7.43,0,0,0,0,0,3.19,2.12
 96-106,0,0,0,0,1.09,0,4.37,37.16,0,7.65,1.09,0,4.37,0,0,0,12.02,1.09,0,0,0,0,3.28,0
108-118,0,0,0,0.77,0,0.77,0,25.28,0,2.3,1.53,0,3.06,0,0,0,12.26,0,0,0,0,0.77,1.53,0.77
120,0,0,0,3.92,0,0,1.96,9.8,0,3.92,1.96,1.96,3.92,0,0,0,7.84,0,0,0,0,0,3.92,0
