stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,77,6,1,0,0,0,0,4,0,0,4,61,0,0,0,0,0
 24-34,0,0,4.1,0.82,0,0,4.93,0,0,0,0.82,0,0,0.82,0.82,0,0,0,0,0,2.46,0,0,0,442.44,2.46,5.75,0,0,0,0.82,0,0.82,0,0,169.92,0,0,0,0,0.82
 36-46,0,0,3.22,3.22,0,0,14.5,0,0,0.81,2.42,0,0,0,0,0.81,0,0.81,0.81,0,4.03,0,0.81,0,1031.26,4.83,10.47,0,0,0,1.61,0,0,0,0,272.32,0,0,0.81,0,0
 48-58,0,0,4.59,1.15,0.57,0,84.35,0.57,0,0,7.46,0,0,0.57,0,0,0.57,0,0,0.57,5.16,0.57,0.57,1.15,1414.43,2.3,6.89,1.15,0,0,0,0,0,0.57,0,243.29,0,0,0,0,1.15
 60-70,0,0,0,2.94,0.98,0,395.55,0.98,0,0,24.54,0,0,0,0,0,0,0,0,0,16.69,0.98,0,0.98,2394.91,4.91,9.82,0.98,0,0,5.89,0,0,0,0,264.03,0,0.98,1.96,0,1.96
 72-82,0,0,3.93,5.89,6.87,0,610.59,0,0,0,63.81,2.94,0,0,0.98,0.98,0,0,0.98,0.98,34.36,0,6.87,0.98,2307.89,1.96,16.69,0,0,0,0,0,0,0,0,136.45,0,1.96,1.96,5.89,0.98
 84-94,0,0,4.25,10.62,1.06,0,357.91,0,0,0,47.79,2.12,0,0,3.19,0,0,0,0,0,29.74,0,8.5,1.06,1065.22,1.06,8.5,1.06,0,0,1.06,0,0,0,0,65.85,3.19,1.06,2.12,3.19,0
 96-106,0,0,1.09,13.11,0,0,264.47,0,2.19,0,49.18,8.74,0,0,4.37,0,1.09,0,0,0,26.23,0,10.93,0,992.3,1.09,16.39,1.09,0,0,4.37,0,0,1.09,0,31.69,2.19,0,2.19,9.84,0
108-118,0,0,0.77,9.19,0.77,0.77,234.38,0,0,0,62.81,1.53,0,0,0.77,0.77,0.77,0.77,0.77,0.77,21.45,0,3.83,0.77,1066.22,2.3,6.89,0.77,0,0.77,1.53,0,0,0,0,26.81,0.77,1.53,0.77,0.77,0
120,0,0,0,15.68,1.96,3.92,148.94,0,0,0,62.71,0,0,0,0,1.96,0,0,1.96,0,11.76,1.96,5.88,1.96,1040.65,0,15.68,1.96,0,0,0,0,1.96,0,0,41.16,0,0,3.92,5.88,0
