stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,4,0,0,1,0,1,0,0,0,0,0,0,0,0
 24-34,0,0,1.64,0,0,3.28,0,0,0,0,0,0,0.82,0,0.82,0,0,0,0.82,6.57,0,0,2.46,9.85,0,0.82,0,0,5.75,1.64,0,1.64,0,0,2.46,0,0
 36-46,0,0,1.61,0.81,0,1.61,0,0,0,0.81,0,0,0.81,0.81,0.81,0,0,0,0,11.28,3.22,0,2.42,19.34,0,0,0.81,0,3.22,0.81,0,2.42,0,0,0,0,0
 48-58,0,0,0,1.15,0,1.72,0,0.57,0.57,2.3,0,0,0,0,0.57,0,0.57,0.57,0,12.05,2.87,0,4.02,9.18,0,0,2.3,0,4.02,0,0.57,1.15,0,0,0.57,0,1.15
 60-70,0,0,0.98,0,0,2.94,0,0,0,5.89,0,0,0,1.96,0,0,1.96,0.98,0,25.52,3.93,0.98,1.96,5.89,0,0,0.98,0,2.94,0.98,0,0,0,1.96,0.98,0,0
 72-82,1.96,0,2.94,10.8,0,6.87,0,0.98,3.93,31.41,0.98,0,0.98,2.94,0.98,0,2.94,0,0,62.83,10.8,0.98,11.78,13.74,0,0,2.94,1.96,1.96,0,0,0,0,0.98,3.93,3.93,3.93
 84-94,0,0,2.12,8.5,0,5.31,1.06,0,3.19,12.74,4.25,1.06,0,7.43,3.19,0,0,1.06,2.12,35.05,4.25,0,6.37,10.62,0,0,5.31,1.06,6.37,1.06,0,1.06,0,1.06,1.06,1.06,1.06
 96-106,1.09,0,4.37,14.21,1.09,7.65,0,1.09,2.19,26.23,7.65,0,2.19,7.65,0,3.28,4.37,1.09,0,64.48,5.46,1.09,6.56,15.3,1.09,0,8.74,1.09,4.37,1.09,2.19,2.19,1.09,1.09,3.28,5.46,2.19
108-118,0.77,0.77,4.6,9.96,0,3.06,0,0,4.6,24.51,11.49,0,0.77,4.6,2.3,5.36,1.53,1.53,0,57.45,3.06,3.06,8.43,24.51,0,2.3,6.89,1.53,4.6,3.83,0,0.77,0.77,1.53,3.83,1.53,1.53
120,0,0,17.64,5.88,1.96,5.88,0,5.88,1.96,37.24,1.96,0,1.96,11.76,0,1.96,1.96,1.96,0,43.12,0,1.96,1.96,27.44,0,0,7.84,1.96,1.96,0,0,3.92,0,0,3.92,1.96,1.96
