stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,52.71,210.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,116.46,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.17,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,9.44,0,3.15,0,176.23,0,0,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,654.57,12.59,0,0,31.47,0,3.15,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,1,17,1,0,413,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,213,2,0,0,0,2,1,2,1,9,8,3,0,0,0,0
 24-34,0,0,0,0.82,4.93,0.82,0,402.22,1.64,0,0,0.82,0.82,0,0.82,0,0,0,0,0.82,0,4.93,0,0,6.57,112.46,0,0.82,0.82,0,5.75,0,0,0,0.82,1.64,6.57,0,0,2.46,0
 36-46,0,0,0.81,0,3.22,0,0,706.57,5.64,1.61,0.81,1.61,0,0,1.61,0,0,0,0,0,0,9.67,0,0.81,2.42,88.62,1.61,0,0,0,17.72,0,0,0,3.22,0,8.86,0,0,2.42,3.22
 48-58,0,0,0,0,2.87,0,0,271.41,9.18,0,0,5.74,0,0,0,0,0,0,0.57,0,0,9.75,0,0,0.57,39.02,0.57,0,0,0,5.16,0,0,0,0,0,4.02,0,0,0.57,1.15
 60-70,0,0,0.98,0,1.96,0,0,359.24,3.93,1.96,0,23.56,0,0,0,0,0,1.96,0,0,0,17.67,1.96,0.98,3.93,25.52,0,0,0,0,5.89,0,0,0,0.98,0,4.91,0,0,0.98,0
 72-82,0,0,0,0,3.93,0.98,0,182.59,1.96,0.98,1.96,40.25,0.98,0,0.98,0,0,0,1.96,0,0,16.69,0,0.98,3.93,26.5,0,0,0.98,0,1.96,0,0,0,0,0,0,0,0,2.94,0.98
 84-94,1.06,0,0,0,13.81,0,0,164.62,2.12,1.06,1.06,26.55,5.31,0,0,0,1.06,0,1.06,0,0,14.87,1.06,1.06,2.12,13.81,0,0,0,0,5.31,0,0,0,1.06,0,3.19,0,0,1.06,1.06
 96-106,0,0,0,0,5.46,0,2.19,107.1,8.74,1.09,3.28,17.49,1.09,0,1.09,0,0,2.19,1.09,0,0,37.16,0,2.19,1.09,12.02,1.09,1.09,2.19,0,3.28,0,0,0,3.28,0,3.28,2.19,1.09,2.19,0
108-118,0,0,0,0,11.49,0,4.6,101.11,9.19,5.36,1.53,24.51,0,0,0,0.77,0.77,3.06,0.77,0.77,0.77,29.87,0,0.77,6.13,13.79,0.77,0.77,3.83,0,5.36,0,0,0,1.53,0,0,0,0,1.53,1.53
120,0,0,0,0,3.92,0,3.92,50.95,3.92,1.96,0,17.64,0,0,0,0,0,1.96,0,3.92,0,13.72,0,0,0,31.36,1.96,0,1.96,0,0,0,0,0,0,0,0,0,0,1.96,0
