stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,65.89,1699.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,698.78,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,70.98,2.63,10.51,0,0,0,15.77,0,0,0,0,0,39.43,0,0,0,0,0,0,0,0,0,0,0,147.21,239.21,0,0,78.86,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,9.44,9.44,75.53,0,0,0,12.59,0,0,0,0,0,110.14,0,0,0,0,0,0,0,0,0,0,0,409.11,695.48,0,0,169.94,0,0,0,0,12.59,0,6.29,0,0,0,0,0,0
 14-21,1,0,14,1418,20,0,38,0,25,0,12,15,9,4,0,2,0,0,1,1,217,5,0,335,95,632,0,9,21,0,5,3,29,4,3,76,273,0,0,5,0,0
 24-34,0,0,1.64,924.28,5.75,0,68.13,0.82,98.5,31.19,18.06,0.82,0,8.21,0,0,0,0.82,2.46,1.64,499.9,6.57,0,507.29,171.56,298.79,0,20.52,0.82,0,45.97,0,1.64,1.64,0.82,94.4,126.41,0,0,18.06,0,0.82
 36-46,0,0,0,460.04,0.81,0,54.79,0,82.18,99.1,45.12,0.81,0,8.86,0.81,0,0,1.61,2.42,0.81,733.16,8.06,3.22,351.27,104.74,244.92,0,23.36,0,0,76.54,0,1.61,0,0,0.81,53.17,0,0,8.86,0,1.61
 48-58,0.57,0,0,293.79,1.15,0,73.45,1.15,84.92,113.04,67.71,0,0,4.59,0,0,1.15,2.87,2.3,0.57,1214.74,6.31,7.46,187.06,79.19,161.81,1.72,43.61,0.57,1.15,66.56,0,0,0.57,0,0,55.09,0,2.87,2.3,0,0.57
 60-70,0,0,0,144.28,0,0,78.52,0.98,60.85,125.63,106,3.93,0,4.91,0,1.96,0,3.93,0.98,0,1596.94,3.93,22.58,106,54.97,85.39,2.94,41.22,0,1.96,40.24,0,0,0,0.98,0,25.52,0,23.56,1.96,12.76,0
 72-82,0,0,0,122.71,0,0,89.33,1.96,29.45,160.01,76.57,1.96,0,2.94,0,0,0.98,12.76,11.78,0.98,1766.99,1.96,29.45,109.95,52.03,71.66,1.96,48.1,0,2.94,13.74,0,0,0,0,0,4.91,0,45.16,4.91,26.5,0
 84-94,0,0,0,195.41,0,0,101.96,0,46.73,120.01,47.79,12.74,0,2.12,1.06,3.19,1.06,8.5,77.53,0,1387.02,0,19.12,73.28,28.68,90.27,0,49.92,0,0,21.24,0,0,0,0,0,10.62,0,37.17,2.12,18.05,2.12
 96-106,0,0,0,76.5,0,0,43.71,0,18.58,74.31,36.06,8.74,0,0,0,3.28,0,18.58,73.22,0,742.04,1.09,8.74,30.6,39.34,67.76,2.19,43.71,0,3.28,14.21,0,0,2.19,0,0,4.37,1.09,19.67,1.09,26.23,1.09
108-118,0,0,0,32.94,1.53,3.06,17.62,0,15.32,38.3,17.62,6.13,0,0.77,0,0.77,0.77,11.49,85.79,0,360,0,6.89,18.38,30.64,40.6,0,16.09,0,2.3,5.36,0,0,0.77,0,0,2.3,0,13.02,2.3,13.02,0
120,0,0,0,23.52,1.96,0,17.64,0,9.8,27.44,15.68,0,0,3.92,0,0,0,5.88,17.64,0,211.66,1.96,7.84,9.8,7.84,21.56,0,21.56,0,7.84,1.96,0,0,0,0,0,0,1.96,1.96,1.96,1.96,0
