stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,immune,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,pericytes,periderm,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,2,0,0,0
 24-34,0,0,0.82,0,0.82,0,0,0,0,0,0,0,0,0,2.46,0,0,0,3.28,2.46,0,0,0,0,0,4.1,0,0,0
 36-46,0,0,0,0,0,0,0,0.81,0,0,0,0,0.81,0.81,4.83,0,1.61,0,3.22,2.42,0,0,0,0,1.61,3.22,0.81,0,0
 48-58,0,0,0,0.57,0,1.72,0,0.57,0,0,0,0.57,0,0.57,18.36,0,4.59,0.57,3.44,2.3,0,0.57,0,0,0,5.74,1.72,0,0.57
 60-70,0,0,0,0,0,2.94,0,0,0.98,0,0,0,0,0,50.06,0.98,8.83,1.96,5.89,2.94,1.96,8.83,0,0,0,0.98,1.96,0,2.94
 72-82,0,2.94,0,0,2.94,3.93,0.98,0.98,5.89,0,0,0,0.98,0,51.05,0,7.85,0.98,5.89,0,0,11.78,1.96,0,0,7.85,4.91,0,18.65
 84-94,0,3.19,0,0,0,7.43,0,0,0,0,2.12,0,0,0,33.99,0,10.62,2.12,8.5,0,0,11.68,0,0,0,1.06,5.31,0,12.74
 96-106,0,0,0,0,0,4.37,0,1.09,2.19,0,0,0,1.09,0,37.16,0,3.28,1.09,7.65,0,0,24.04,0,1.09,0,4.37,2.19,2.19,9.84
108-118,0,0.77,0,0.77,0,0,0,0.77,0,0,0,0,0,0,35.23,0.77,6.89,3.83,5.36,1.53,0.77,29.11,0,0,0,1.53,1.53,0,13.79
120,0,1.96,0,1.96,0,3.92,1.96,1.96,0,0,0,0,0,0,31.36,0,3.92,3.92,1.96,0,0,23.52,1.96,0,0,0,1.96,0,9.8
