stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,65.89,303.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,453.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,5.26,0,42.06,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223.44,15.77,0,0,118.29,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,15.73,0,59.79,0,3.15,28.32,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,3.15,336.73,37.76,0,0,169.94,0,0,0,0,25.18,0,0,0,0,0,0,0
 14-21,0,0,0,4,31,17,5,0,0,0,3,6,1,0,0,0,0,0,0,22,0,0,26,91,29,0,1,4,0,1,1,44,2,1,30,29,0,10,0,0
 24-34,0,0,0.82,0.82,11.49,0.82,7.39,0,0.82,0,5.75,1.64,0,4.1,0,0,0,0,0,81.26,0,0,42.68,123.95,15.6,0,6.57,0,0,0,0,0,1.64,0,5.75,32.01,0,46.79,0,3.28
 36-46,0,0,0,0,8.06,0,10.47,0.81,1.61,1.61,8.86,0,0,0.81,0,0,0,0.81,0,100.71,0,0.81,30.62,77.34,12.09,1.61,5.64,0,0,0.81,0,0,1.61,0,0,29.81,0,37.87,0,3.22
 48-58,0,0,0,0,5.16,0,17.79,1.15,1.72,5.16,9.18,0.57,0,2.3,0,0,1.15,1.15,0.57,125.09,0,0.57,21.23,51.64,9.18,0,4.59,0,0.57,0.57,0,0,1.15,0,0,9.18,0,28.69,0,12.05
 60-70,0,0,0.98,0,7.85,0.98,14.72,0.98,3.93,1.96,17.67,0.98,0,6.87,0.98,0,2.94,0.98,1.96,183.54,0,2.94,10.8,30.43,7.85,0.98,6.87,0,0,1.96,0,0,1.96,0,0,8.83,2.94,29.45,0.98,7.85
 72-82,0,0,0,0,9.82,0,19.63,0.98,1.96,4.91,24.54,2.94,0,3.93,0,0,0,0,0,289.59,0,5.89,15.71,43.19,2.94,0.98,7.85,0,0,0.98,0,0,0.98,0,0,0,4.91,55.95,0.98,9.82
 84-94,0,0,1.06,0,8.5,0,32.92,0,4.25,6.37,13.81,4.25,1.06,4.25,0,0,5.31,0,0,177.36,0,2.12,8.5,28.68,4.25,1.06,7.43,0,0,2.12,0,0,3.19,0,0,2.12,1.06,50.98,2.12,4.25
 96-106,0,0,2.19,0,10.93,0,14.21,2.19,4.37,0,17.49,5.46,0,2.19,1.09,1.09,4.37,0,0,149.72,0,1.09,8.74,22.95,5.46,1.09,14.21,0,1.09,2.19,0,0,1.09,0,0,2.19,6.56,64.48,2.19,14.21
108-118,0,0,0,0,16.09,0,13.02,0,3.06,6.13,12.26,4.6,0,0.77,0.77,0,4.6,1.53,0,135.58,0.77,5.36,4.6,32.94,5.36,1.53,14.55,0,2.3,3.06,0,0,0.77,0,0,0.77,2.3,45.19,0.77,6.89
120,0,0,1.96,0,25.48,0,9.8,3.92,1.96,1.96,11.76,5.88,0,1.96,0,1.96,1.96,0,0,125.43,0,3.92,1.96,25.48,5.88,0,7.84,0,0,0,0,0,0,0,0,1.96,1.96,47.03,3.92,7.84
