stage,blastomeres,epidermis,erythrocytes,eye,glial,gut,immune,ionocyte,lateral.line,mural.cell,neural,notochord,periderm,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0
 36-46,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0.98
 72-82,0,0,0,0,0,0,0.98,0,0,0,0,0,0.98,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,1.06,0
 96-106,0,0,0,0,0,0,0,0,1.09,1.09,0,0,9.84,1.09
108-118,0,0,0,0.77,0.77,0.77,0,0,0,0,0.77,0,7.66,0
120,0,5.88,1.96,0,0,0,1.96,1.96,0,0,0,0,5.88,0
