stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,1.64,0,0.82,0,0,0,0,0.82,0.82,0,0.82,0,0,0,0,0.82,0,0,0,19.7,0,0,1.64,0,0,0.82,0,0,6.57,0,0,0,0,0
 36-46,0,0,0,0,0,0,6.45,0,0,0.81,0,0,0,0,0,0,0,0,0,0.81,0,0,0.81,32.23,0,1.61,0.81,0,0,0,0,1.61,6.45,0,0,0,0,0
 48-58,0,0,0,0,0.57,0,20.08,0,0.57,1.15,0,0,0,0,0.57,0.57,0,0,0,5.16,0,0.57,1.15,31.56,0.57,0.57,0.57,0,0,0,0,0,6.31,0,0,0.57,0,0.57
 60-70,0,0,0,0,0.98,0,38.28,0.98,0,2.94,0.98,0,0,0,0,0,0,0,0,10.8,0.98,0,1.96,36.32,0,1.96,0,0,0,0,0,0.98,2.94,0,0,0.98,0,0
 72-82,0,0,0,0,0.98,0.98,33.38,0,0,4.91,0.98,0,0,2.94,0,0.98,1.96,1.96,0,14.72,0,1.96,0,33.38,0,0,1.96,0,0,0,0,0,5.89,0.98,0,0.98,0,0
 84-94,0,0,0,0,1.06,0,21.24,0,1.06,0,1.06,0,0,5.31,2.12,0,1.06,1.06,0,11.68,2.12,0,1.06,22.3,0,0,1.06,0,0,0,0,1.06,0,0,0,2.12,1.06,0
 96-106,0,0,1.09,0,4.37,0,16.39,0,0,8.74,0,0,0,4.37,0,0,0,1.09,0,8.74,0,0,2.19,14.21,0,0,1.09,0,1.09,2.19,0,0,2.19,0,1.09,1.09,1.09,0
108-118,0,0,0,0,3.83,0,4.6,0,0.77,1.53,0.77,0,0,3.83,0.77,0,0.77,0.77,0.77,6.89,0,0,3.06,24.51,0,0.77,2.3,0,0,0,0,0,0,0,0,1.53,0,0
120,0,0,0,0,1.96,0,9.8,0,0,5.88,0,0,0,3.92,0,0,0,0,0,9.8,1.96,0,0,23.52,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0
