stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,13.18,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.26,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.83,2.63,0,0,10.51,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,9.44,0,0,0,6.29,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,50.35,0,0,0,15.73,0,0,0,3.15,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,18,3,0,4,0,1,0,1,2,0,0,0,0,0,0,0,0,1,0,0,2,27,7,0,0,3,20,1,5,4,2,6,16,0,0,0,0
 24-34,0,0,0,0.82,20.52,0,0,2.46,0.82,7.39,0,1.64,0,0.82,0.82,0.82,0.82,0,0,0,0.82,0,2.46,0,2.46,36.12,48.43,0.82,0.82,0,101.79,0,0,0.82,6.57,3.28,4.1,0,0,0,0
 36-46,0,0,0,0,5.64,0,0,5.64,2.42,12.89,0,0,0,0,0.81,0,0,0,0,0,0,2.42,0,0,1.61,20.14,56.4,0,0,0,191.75,0,0,0,1.61,0,3.22,0,0,0,0
 48-58,0,0,0,0,2.87,6.89,0,9.18,5.74,8.61,0.57,0.57,1.15,0,0.57,0,1.15,0,0.57,0.57,0.57,6.31,1.72,0.57,1.15,24.1,54.51,0.57,0,0,230.67,0,0,0,1.72,0,6.31,0,0,0.57,0
 60-70,0.98,0,0,0,8.83,11.78,0,15.7,1.96,12.76,0,2.94,2.94,0.98,0,0,3.93,0,1.96,0,0,6.87,1.96,0,0.98,18.65,42.21,0,1.96,0,284.64,0,0,0,1.96,0,8.83,0,0,0.98,0
 72-82,0,0,0,0,9.82,97.18,0,37.3,0.98,11.78,0,5.89,1.96,0,0,0.98,4.91,2.94,0.98,0,0,8.83,9.82,1.96,2.94,15.71,34.36,0.98,0,0,328.86,0,0,0,0.98,0,3.93,0,0.98,0.98,0
 84-94,0,0,0,0,25.49,89.21,0,25.49,3.19,42.48,1.06,2.12,3.19,0,0,2.12,9.56,2.12,0,3.19,0,4.25,11.68,1.06,2.12,11.68,52.04,0,2.12,0,837.95,1.06,0,1.06,3.19,0,1.06,1.06,1.06,0,2.12
 96-106,0,0,1.09,0,28.41,67.76,0,43.71,5.46,38.25,1.09,7.65,1.09,0,0,0,7.65,1.09,2.19,2.19,0,18.58,7.65,1.09,1.09,21.86,33.88,1.09,1.09,0,530.03,0,0,0,9.84,0,2.19,0,2.19,1.09,0
108-118,0,0,0,0.77,26.81,36.77,5.36,39.83,6.13,55.92,0.77,3.06,6.13,0,0,1.53,15.32,1.53,0.77,1.53,0,6.89,11.49,1.53,5.36,13.02,35.23,0.77,1.53,0,428.17,0,0,2.3,9.19,0,3.83,0.77,6.13,0.77,1.53
120,1.96,0,0,0,41.16,23.52,1.96,68.59,3.92,37.24,0,3.92,1.96,0,0,3.92,7.84,0,1.96,0,0,19.6,5.88,0,0,15.68,41.16,0,0,0,356.68,0,0,0,3.92,0,1.96,0,0,3.92,0
