stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,64,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0
 24-34,0,0,3.28,0,0,0.82,0,0,0,0,0,0,1.64,0,0,13.13,0.82,0,2.46,0,0,0.82,85.37,1.64,4.1,10.67,0,0,1.64,0,0,0.82,0,3.28,0,0,0.82,0,0
 36-46,0,0,0.81,0.81,0,0,0,0,0,0,0,0,2.42,0,0,8.06,0,0,2.42,0,0,6.45,53.17,1.61,2.42,1.61,0,0,2.42,0,0.81,0,0,8.06,0,0,2.42,0,0
 48-58,0,0,2.3,0,0,7.46,0,0.57,0,3.44,0,0,6.31,0.57,0,8.03,0,0.57,5.16,0.57,0,9.18,56.81,0.57,2.3,3.44,0,0,0.57,0,0,0,0,6.89,0,0,6.31,0,0
 60-70,0,0,1.96,0,0,5.89,0,0,0.98,6.87,0,0,28.46,0,0,12.76,0,0,5.89,0,0,5.89,33.37,0,0.98,0,0,0,2.94,0,0,0,0,1.96,2.94,0,3.93,0,0.98
 72-82,2.94,0,7.85,0.98,0,21.6,0,0,0,31.41,1.96,1.96,112.89,2.94,0,28.47,0,0,43.19,0,0,10.8,106.02,0,0.98,1.96,0,0.98,3.93,0,0,0,0,3.93,5.89,0.98,10.8,0.98,0.98
 84-94,0,0,11.68,0,0,13.81,1.06,1.06,0,33.99,5.31,0,118.95,2.12,0,21.24,0,0,16.99,1.06,1.06,5.31,53.1,1.06,2.12,3.19,0,1.06,7.43,0,1.06,0,0,3.19,57.35,0,16.99,1.06,0
 96-106,2.19,1.09,20.76,1.09,0,16.39,2.19,3.28,0,20.76,2.19,1.09,168.3,4.37,1.09,32.79,3.28,0,31.69,1.09,1.09,9.84,64.48,0,1.09,7.65,0,0,5.46,0,0,0,0,0,74.31,0,19.67,2.19,2.19
108-118,0,1.53,22.98,3.06,0.77,7.66,0,3.06,1.53,35.23,5.36,0.77,171.58,3.83,0,25.28,0.77,0,35.23,0.77,0,9.19,72,0.77,1.53,4.6,0,0,7.66,0,0,0,0,1.53,142.47,0,8.43,1.53,0
120,1.96,0,39.2,1.96,3.92,13.72,0,3.92,1.96,52.91,5.88,0,323.36,5.88,0,37.24,1.96,0,41.16,0,0,21.56,131.31,1.96,5.88,5.88,0,0,11.76,0,0,1.96,0,5.88,62.71,0,23.52,0,0
