stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,188.82,0,0,0,12.59,3.15,0,0,6.29,0,0,0,0,0,0
 14-21,1,0,0,6,188,340,38,0,0,0,1,0,0,0,18,116,0,0,0,0,1,13,0,0,181,0,3,2,0,9,0,4,1,0,24,0,1,0,0
 24-34,0,0,0,7.39,36.94,53.36,407.14,0,0.82,0,5.75,1.64,0.82,0,25.45,68.13,0,0,0.82,0,6.57,19.7,0,0.82,442.44,0,6.57,2.46,0.82,4.1,0,0,2.46,0.82,50.89,0,20.52,0,0
 36-46,0,0,0,0,22.56,3.22,506.77,0,1.61,0,3.22,1.61,0,0,9.67,16.92,0,0,0.81,0.81,1.61,5.64,0,0.81,248.15,0,2.42,0,0,2.42,0,0,2.42,0,27.39,0,16.92,0,1.61
 48-58,0,0,0,0.57,30.99,6.31,364.94,0.57,2.87,0,13.2,4.02,0,0,12.05,25.25,0,0.57,0,0.57,4.59,7.46,0,1.15,123.37,0,4.02,0,0,0,0,0,0.57,0,17.79,0,22.95,0,0
 60-70,0,0,0,0,57.91,17.67,210.05,0,0,0,19.63,11.78,0,0,19.63,18.65,0.98,0.98,0.98,0,2.94,4.91,1.96,0.98,86.37,0.98,4.91,0,0,1.96,0,0,0,0,5.89,10.8,16.69,0,0
 72-82,0,0,2.94,0,67.73,88.35,104.06,0,2.94,0,25.52,24.54,0,0.98,53.01,50.06,0,0,0,0,7.85,9.82,0.98,1.96,87.37,0,6.87,0.98,0,1.96,0,0,1.96,0,1.96,33.38,43.19,0,0
 84-94,0,0,3.19,0,99.83,97.71,79.65,1.06,5.31,1.06,12.74,28.68,0,0,63.72,79.65,2.12,0,0,0,5.31,6.37,1.06,1.06,60.54,0,12.74,3.19,0,6.37,0,0,1.06,0,1.06,65.85,37.17,0,0
 96-106,0,0,2.19,0,135.51,157.37,76.5,0,1.09,1.09,22.95,43.71,0,0,67.76,54.64,0,2.19,4.37,0,19.67,4.37,3.28,0,57.92,0,7.65,2.19,0,12.02,1.09,0,0,0,0,40.44,49.18,1.09,0
108-118,0,0,2.3,0.77,120.26,216.77,68.94,0,6.13,0.77,16.09,43.66,0,0.77,62.04,55.92,0.77,0.77,0.77,0,8.43,4.6,0.77,0.77,84.26,0,8.43,0.77,0,3.83,0,0,1.53,0,0.77,39.06,45.19,0,0
120,1.96,0,0,0,88.19,274.37,72.51,0,3.92,1.96,21.56,23.52,0,0,72.51,21.56,0,3.92,5.88,0,1.96,0,0,1.96,92.11,3.92,5.88,3.92,0,7.84,0,0,0,0,5.88,19.6,56.83,0,0
