stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,65.89,1370.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,747.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,21.03,15.77,0,34.17,0,0,0,26.29,0,0,0,0,0,39.43,0,0,0,0,0,0,0,0,0,0,0,365.39,34.17,0,0,202.41,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,40.91,0,6.29,0,34.62,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,424.84,22.03,0,0,163.64,0,0,18.88,0,15.73,3.15,0,0,0,0,0
 14-21,0,0,0,5,36,47,0,3,0,0,0,8,1,0,1,0,11,0,0,0,0,12,0,0,13,112,2,2,2,3,3,6,31,4,16,53,0,0,2,0,0
 24-34,0,0,1.64,2.46,10.67,116.56,0,34.48,0,0.82,0.82,9.03,0,0,0,0.82,11.49,0,0.82,3.28,1.64,41.04,0.82,0,16.42,318.49,0,6.57,4.1,0,13.13,0,27.91,1.64,1.64,79.62,0,0,7.39,0,0.82
 36-46,0,0,0,0.81,4.03,22.56,0,90.23,0.81,0,1.61,21.75,0,0,0.81,0.81,2.42,1.61,1.61,0.81,0,49.15,0.81,0.81,7.25,423.78,2.42,2.42,1.61,0,8.86,0,9.67,0.81,0,98.29,0,0,5.64,0,0.81
 48-58,0,0,0,0,5.16,29.26,0,201.41,0,1.15,0.57,61.97,0,0,0,1.15,2.3,0,0.57,0,2.3,77.46,0.57,1.15,12.62,309.85,0.57,4.02,1.72,0,9.18,0,1.72,0.57,0,86.64,0,0,3.44,0,3.44
 60-70,0,0,0,0,7.85,9.82,0,248.33,0,2.94,1.96,107.97,0,0,0,0,2.94,1.96,0,0.98,0.98,74.6,0,2.94,2.94,219.86,0,2.94,1.96,0,5.89,0,0.98,0,0,52.02,0,1.96,5.89,0,2.94
 72-82,0,0,2.94,1.96,5.89,17.67,0,205.17,0.98,2.94,0,113.87,5.89,0,0,0,3.93,0.98,0.98,0,0.98,65.77,1.96,1.96,0.98,216.95,2.94,5.89,5.89,0,8.83,0,2.94,0,0,20.61,0.98,0,9.82,1.96,1.96
 84-94,0,0,0,0,11.68,29.74,0,126.38,1.06,5.31,4.25,52.04,8.5,0,3.19,3.19,10.62,1.06,0,3.19,2.12,45.67,1.06,2.12,4.25,104.08,0,4.25,8.5,0,18.05,0,9.56,0,0,16.99,1.06,1.06,2.12,1.06,3.19
 96-106,0,0,1.09,0,14.21,25.14,1.09,102.73,1.09,1.09,2.19,62.29,9.84,0,2.19,4.37,8.74,2.19,0,0,1.09,31.69,2.19,3.28,4.37,86.33,1.09,5.46,9.84,0,17.49,0,2.19,0,0,8.74,0,0,5.46,1.09,0
108-118,0,0,1.53,0.77,14.55,42.13,1.53,104.17,0,0.77,1.53,58.21,8.43,0,0.77,3.06,8.43,2.3,2.3,1.53,0.77,28.34,0,0.77,3.06,127.15,1.53,4.6,6.89,0,19.15,0,6.13,0,0,4.6,1.53,1.53,0.77,0.77,0
120,0,0,0,1.96,23.52,74.47,0,66.63,1.96,1.96,0,43.12,5.88,0,0,1.96,5.88,1.96,3.92,1.96,0,21.56,0,0,7.84,88.19,3.92,1.96,11.76,0,9.8,0,3.92,0,0,5.88,3.92,0,1.96,0,0
