stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,593.01,11398.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355.8,0,0,0,0,0,0,0,0
  5-6,208.41,2562.19,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,42.91,0,0,0,12.26,0,42.91,0,0,0,0,0,0,0,0
  7-9,10.51,26.29,23.66,0,0,49.95,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,573.06,21.03,0,0,191.9,0,0,10.51,0,0,0,0,0,0,0
 10-12,0,31.47,37.76,0,6.29,94.41,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,975.56,31.47,0,0,220.29,0,0,3.15,3.15,34.62,0,3.15,0,0,0
 14-21,0,0,5,33,20,34,0,0,10,1,0,1,1,0,0,0,0,37,0,24,354,2,0,6,9,0,1,2,17,4,3,9,195,0,2
 24-34,0,0,1.64,12.31,108.35,31.19,0,0,27.09,0.82,0,0,14.78,0.82,0,0.82,0,52.53,0,26.27,576.24,0,2.46,4.93,0,0,6.57,0,0,0,0.82,3.28,256.93,0,4.1
 36-46,0,0,0,0.81,14.5,38.67,0,0.81,24.98,0.81,0,0,24.17,0,1.61,0.81,0.81,51.56,0,6.45,353.69,0,0,3.22,0,0,0.81,0,0,0,0,0,130.52,0,0.81
 48-58,0,0,0,2.3,4.02,39.02,0.57,1.15,32.13,0,0,0,24.67,0,1.15,0,0,42.46,1.72,4.59,96.4,0,0,1.15,0,0,1.15,0,0,0,0,0,49.92,0,0.57
 60-70,0,0,0,0,0.98,35.33,0,0,18.65,0,0,0,32.39,0,1.96,0,0,32.39,1.96,3.93,49.08,0,0,1.96,0,0,0,0,0,0,0,0,20.61,0.98,1.96
 72-82,0,0,0,0.98,0,14.72,0,0.98,12.76,0.98,0,0,40.25,0,2.94,0,0,26.5,0,3.93,45.16,0,0,0,0,0,0.98,0,0,0,0,0,0,0,2.94
 84-94,0,0,0,2.12,6.37,12.74,0,1.06,10.62,0,0,0,73.28,1.06,5.31,0,0,19.12,3.19,2.12,20.18,1.06,0,2.12,0,1.06,1.06,0,0,0,0,0,4.25,1.06,0
 96-106,0,0,0,2.19,7.65,10.93,0,1.09,7.65,0,0,0,67.76,0,6.56,2.19,0,15.3,0,0,31.69,0,1.09,3.28,0,0,0,0,0,0,0,0,2.19,1.09,1.09
108-118,0,0,0,2.3,24.51,7.66,0,4.6,8.43,0.77,0,0,47.49,0.77,18.38,0.77,0,10.72,0,0,33.7,0,0,0,0,0,0.77,0,0,0,0,0,0,0,1.53
120,0,0,0,1.96,19.6,9.8,0,0,3.92,1.96,0,0,52.91,0,13.72,0,0,7.84,0,1.96,41.16,0,1.96,1.96,0,0,0,0,0,1.96,0,0,1.96,0,3.92
