stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
 24-34,0,5.75,0,0,3.28,0,0,0,0.82,0.82,0,0,0.82,0,0,0.82,0,0,0,0,0.82,0,0,0,0
 36-46,0,2.42,0,0,0.81,0,0,0,0.81,0,1.61,8.86,0,0.81,0,8.06,0,0,0,0.81,0,0.81,0,0,0
 48-58,0,2.3,0,0.57,2.3,0,0.57,0,0,0,2.3,6.31,0,0.57,0,9.18,0,0,0,0,0,0.57,0,0,0.57
 60-70,0,0,0,0,1.96,0,0.98,0,0,0,0.98,9.82,0,0,0,22.58,0,0.98,0,0,0,4.91,0.98,0,0
 72-82,0,2.94,0,0.98,1.96,0,0.98,0,0.98,0,0,11.78,0,0.98,0,53.01,0,0,0,0,0,2.94,0,0.98,0.98
 84-94,0,3.19,0,2.12,3.19,1.06,0,0,0,0,2.12,12.74,0,0,0,21.24,0,0,0,0,0,0,0,0,0
 96-106,0,2.19,0,2.19,5.46,1.09,1.09,1.09,1.09,0,1.09,3.28,0,2.19,0,22.95,1.09,0,0,0,0,0,0,0,2.19
108-118,0,1.53,0.77,2.3,6.13,0,1.53,0.77,2.3,0,0.77,6.89,0,0.77,0.77,19.15,0,0,0.77,0,0,0,0.77,0,0.77
120,0,5.88,1.96,3.92,9.8,0,1.96,0,0,0,0,5.88,0,0,0,33.32,0,0,0,1.96,0,0,0,0,0
