stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1,5,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,1,0,10,16,27,1,0,0,187,1,7,7,1,626,3,0,0,0,0
 24-34,0,19.7,0,0,6.57,0,4.1,0,0,1.64,0,0,18.88,0,0,0,6.57,4.93,0,5.75,31.19,3.28,7.39,0,0,435.87,0,1.64,5.75,0,193.72,10.67,0,1.64,0,0
 36-46,0,23.36,0,0,4.83,1.61,3.22,0,0,1.61,0,0,4.03,0.81,0.81,0.81,7.25,3.22,0,3.22,20.14,3.22,2.42,0,0,356.91,0,0,1.61,0,0.81,4.03,0,0,0,0
 48-58,0,25.82,0,0,10.9,1.15,3.44,0,1.15,0.57,0,0,4.59,0.57,0.57,0,9.75,1.15,0,9.75,20.66,1.15,2.3,0,0,214.03,0,0,1.15,0,0,3.44,0,0,0,0
 60-70,0,53,0,0,7.85,3.93,11.78,0,4.91,1.96,0.98,0,1.96,0,0,0,12.76,3.93,0,8.83,7.85,0,0.98,0.98,0,230.66,0,0,0,0,0,0.98,0,0,0,0
 72-82,0.98,78.53,0,0,6.87,0,9.82,0,0,3.93,0.98,0,10.8,0,1.96,0.98,24.54,8.83,0,1.96,17.67,0,3.93,2.94,0,329.84,0,0,0.98,0.98,0,0.98,0,0,0,0
 84-94,2.12,142.31,0,0,3.19,0,25.49,0,1.06,11.68,1.06,0,19.12,0,1.06,2.12,16.99,8.5,0,3.19,10.62,0,6.37,0,0,850.69,0,0,5.31,0,0,0,1.06,0,0,0
 96-106,2.19,142.07,2.19,1.09,7.65,3.28,24.04,0,6.56,14.21,0,0,21.86,0,3.28,4.37,17.49,15.3,2.19,7.65,31.69,1.09,4.37,1.09,0,820.73,0,0,2.19,0,0,1.09,0,0,1.09,3.28
108-118,1.53,198.38,0,0.77,6.89,0.77,43.66,0.77,0,23.74,0,1.53,23.74,0,3.83,1.53,8.43,13.02,0,3.83,18.38,0,4.6,0.77,0,699.32,0,0,4.6,0,0,0,3.83,0,0,0.77
120,0,195.98,1.96,0,7.84,0,41.16,1.96,0,37.24,0,1.96,17.64,0,1.96,1.96,13.72,9.8,1.96,0,27.44,0,3.92,0,1.96,415.47,0,0,3.92,0,0,0,0,1.96,0,0
