stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,heart,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,3,0,0,0,0,0,0,0
 24-34,0,0.82,0,1.64,0,0.82,0,0,0,0,1.64,0,0,0,29.55,0,0,0,0,0,0,1.64,11.49,0,0,0,0
 36-46,0,0,0,1.61,0,0.81,0,2.42,0,0,0,0,0,0,70.9,0,0,0,0,0,0,0,20.95,0,0,0,0
 48-58,0,0.57,0,4.02,0,0.57,0,1.15,0,0,2.87,0,0,0,87.79,0,0,0,0.57,0,1.15,0,8.61,0,0,0,0
 60-70,0,0,0,4.91,0,2.94,0,0.98,0,0,1.96,0,0,0.98,166.86,0,0,0,0,0,0.98,0,15.7,0,0,0.98,0
 72-82,0,0,0,9.82,0,10.8,0,0,0,0,3.93,0,0,0,153.14,0,0,0,0,0,0,0,6.87,0.98,1.96,3.93,0
 84-94,0,1.06,0,16.99,1.06,5.31,1.06,0,0,0,7.43,0,1.06,0,111.51,2.12,0,0,0,0,0,0,7.43,2.12,0,2.12,0
 96-106,0,2.19,1.09,8.74,0,5.46,5.46,0,2.19,1.09,5.46,0,2.19,0,91.8,1.09,0,1.09,1.09,0,2.19,0,1.09,0,2.19,5.46,1.09
108-118,0,0,0,6.89,0.77,0.77,5.36,0,0,0,3.06,0,0,0,86.55,2.3,0,0,0,0,0.77,0,2.3,0,1.53,3.83,0
120,0,3.92,0,5.88,0,1.96,3.92,0,0,0,5.88,1.96,0,0,94.07,0,0,0,0,0,1.96,0,1.96,0,1.96,1.96,0
