stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,26.36,711.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,67.43,1262.7,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,30.65,0,0,0,0,0,0,0
  7-9,23.66,18.4,0,39.43,0,0,55.2,0,0,0,34.17,0,0,0,0,0,0,0,0,0,601.98,10.51,0,0,184.01,2.63,0,0,0,0,0,0,0
 10-12,0,6.29,0,22.03,0,3.15,37.76,0,0,0,18.88,0,0,0,0,0,0,0,0,0,267.49,6.29,0,0,91.26,0,0,9.44,0,3.15,0,0,0
 14-21,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,10,1,0,0,0,0,4,0,0,2,1,0,0
 24-34,0,0,0,0,0,0.82,1.64,0,0,0.82,0,0,0,0,0,0,0,3.28,0,0,18.06,0,0,0,0,0.82,0,0,0,0,3.28,0.82,0
 36-46,0,0,0,0,1.61,0,7.25,0,0,0,0,0,0,0,0,0,0,4.83,0,0.81,16.92,0,0,0,0,1.61,0,0,0,0,3.22,0,0
 48-58,0,0,0,0,0.57,0,8.03,0,0,0.57,0,0.57,0,0.57,0,0.57,0,5.74,0.57,1.15,10.9,0,0,0,0,1.15,0,0,0,0,1.72,0.57,0
 60-70,0,0,0,0,0.98,0,12.76,0.98,0,2.94,0,0,0,0.98,0,0,0,2.94,0,0,10.8,0,0,0,0,2.94,0,0,0,0,0,0,0
 72-82,0,0,0.98,0,0,0,7.85,0,0,1.96,0,0,1.96,0,0.98,0.98,0,6.87,0,0.98,14.72,0,0,0,0,0.98,0,0,0.98,0,0.98,0,0
 84-94,0,0,0,1.06,1.06,1.06,8.5,0,0,0,0,0,0,0,0,0,1.06,3.19,0,0,7.43,0,0,0,0,5.31,0,0,0,0,1.06,0,0
 96-106,0,0,0,0,3.28,0,5.46,0,1.09,1.09,0,1.09,0,0,0,1.09,0,4.37,0,2.19,5.46,0,1.09,2.19,0,6.56,0,0,0,0,1.09,0,0
108-118,0,0,0,0,4.6,0,1.53,0,0,2.3,0,0,0,0,0,0,0,2.3,0,0,7.66,0,3.06,2.3,0,1.53,0,0,0,0,0.77,0,0.77
120,0,0,0,0,0,1.96,11.76,0,0,0,0,0,0,0,0,0,0,0,0,1.96,5.88,0,0,1.96,0,1.96,0,0,0,0,0,0,0
