stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,immune,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,105.42,1357.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0
  5-6,134.85,1507.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.78,6.13,0,0,24.52,18.39,0,0,0,0,0,0
  7-9,26.29,15.77,13.14,0,0,15.77,0,0,0,0,13.14,0,0,0,0,0,0,0,362.76,7.89,0,0,139.32,2.63,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,0,6.29,0,0,0,0,6.29,0,0,0,0,0,0,0,129.03,0,0,0,34.62,0,0,3.15,0,0,0,0
 14-21,0,0,0,7,0,2,0,0,0,1,0,0,0,0,0,1,0,1,15,0,0,0,2,5,2,0,7,0,0,0
 24-34,0,0,0,0,0,5.75,0,0,1.64,0,0,0,0,0,0,7.39,0.82,0.82,36.12,0.82,0,0,0,5.75,0,0,5.75,0.82,0,0.82
 36-46,0,0,0,0,0.81,3.22,0.81,0,0,0,0,0,0,0,0,3.22,0,1.61,12.09,0,0,0,0,4.03,0,0,3.22,0,0,0
 48-58,0,0,0.57,0.57,0,20.66,0,0,1.72,0,0,0,0,0,0,6.89,0,1.72,32.13,0,0,0,0,1.72,0,0,4.02,0,0,0
 60-70,0,0,0,0.98,0,29.45,0,0,0,0,0,0,0,0,0.98,9.82,0,0,27.48,0,0,0,0,0,0,0,2.94,0,0,0
 72-82,0,0,0,0,0,29.45,0,0,2.94,0.98,0,0.98,0.98,0,0,11.78,0.98,0.98,35.34,0,0,0,0,0,0,0,4.91,0,0.98,0
 84-94,0,0,0,1.06,0,9.56,0,2.12,0,0,0,0,0,0,0,5.31,1.06,1.06,6.37,0,0,0,0,1.06,0,0,2.12,0,1.06,0
 96-106,0,0,0,0,0,9.84,0,0,2.19,0,0,1.09,0,0,0,3.28,0,0,17.49,0,0,0,0,1.09,0,0,0,0,1.09,0
108-118,0,0,0,0.77,0,4.6,0,0.77,0,0,0,0,0,0.77,0,1.53,0.77,0,9.96,0,0,0,0,1.53,0,0,0,0,0.77,0
120,0,0,0,0,0,7.84,0,0,3.92,1.96,0,1.96,0,0,0,5.88,0,0,29.4,0,1.96,1.96,0,0,0,0,0,1.96,0,0
