stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,2,0,0,2,0,0,0,0,3,0,0,0,0,0,2,0,1,0,0,1,35,0,0,0,0,0,0,2,2,1,1,33,0,0,0,0,0
 24-34,0,0,0,1.64,0,0,6.57,0,0,0.82,0,0,0,0.82,1.64,0,0,0,0,3.28,0,0,2.46,132.16,0.82,3.28,0.82,0,0,1.64,0,13.95,0,0.82,55.82,0,0,1.64,0,0.82
 36-46,0,0,0,3.22,0,0,5.64,0.81,0,3.22,0.81,0,0,0,0,0,0,0,0.81,4.03,0,0,1.61,178.05,0.81,1.61,0,0,0,4.83,0,9.67,0,0,51.56,0,0,0.81,0,0
 48-58,0,0,0,6.31,0,0,16.07,0,0,6.31,0.57,0,0.57,0,0,0,0,0,0,4.02,0.57,0,0,161.24,0,5.16,0.57,0,0,6.31,0,8.03,0,0,32.13,0,0,0.57,0,1.15
 60-70,0,0,0.98,1.96,0,0,11.78,0.98,0.98,5.89,6.87,0,0,1.96,0,0,0,0.98,0,11.78,4.91,0.98,0,181.58,0,9.82,0,0,0,1.96,0,8.83,0,0,12.76,0.98,0,0.98,0,0
 72-82,0,0,0.98,5.89,0.98,0,27.49,0.98,0,28.47,18.65,0,0,0,0,0.98,0,4.91,0,15.71,11.78,1.96,1.96,238.54,0,19.63,0,0,0,1.96,0,5.89,0.98,0,7.85,10.8,0,1.96,0,0
 84-94,0,0,4.25,3.19,0,0,19.12,2.12,0,14.87,60.54,0,0,0,0,0,1.06,5.31,0,13.81,7.43,0,1.06,177.36,0,25.49,0,0,0,5.31,0,25.49,0,0,8.5,33.99,0,2.12,0,0
 96-106,0,1.09,6.56,13.11,2.19,0,27.32,2.19,0,27.32,84.15,0,0,3.28,1.09,0,0,3.28,0,6.56,12.02,0,0,167.21,0,38.25,0,0,0,3.28,0,19.67,0,0,0,48.09,2.19,0,0,0
108-118,0,0,8.43,5.36,1.53,0.77,14.55,0.77,0,27.57,52.85,0,0,0.77,2.3,0,0,3.83,0,10.72,1.53,0,0,188.43,0,27.57,0.77,0,0.77,4.6,0,16.09,0,0,0.77,46.72,5.36,0.77,0.77,0
120,0,0,1.96,15.68,3.92,0,15.68,0,0,19.6,45.08,0,0,0,0,0,1.96,0,0,25.48,1.96,1.96,3.92,213.62,0,7.84,0,0,0,7.84,0,9.8,0,0,0,19.6,3.92,0,0,0
