stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,448.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,269.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.69,2.63,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,3.15,0,9.44,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,179.38,15.73,0,0,22.03,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,1,1,0,3,36,4,0,32,0,0,7,3,0,3,0,1,0,3,0,39,0,17,211,14,1,2,6,0,0,33,1,5,36,83,0,0,0,0,1
 24-34,0,0,0,1.64,15.6,0,0,72.24,0,3.28,13.95,2.46,0,2.46,0,0,2.46,4.1,0,52.53,0.82,27.91,215.06,3.28,2.46,5.75,0,0,0.82,0,10.67,0.82,16.42,69.77,0,0,10.67,0,4.1
 36-46,0,0,1.61,0,8.06,0,0,43.51,0,4.03,9.67,0.81,0,0.81,0,1.61,0.81,2.42,3.22,95.87,0.81,16.11,94.26,2.42,0,3.22,0,0.81,0,0,16.11,0,0,38.67,0,0,6.45,0,4.03
 48-58,0,0.57,0,0,3.44,0,0,54.51,2.3,5.16,29.84,4.59,0,1.15,0,0.57,0,3.44,3.44,110.74,2.3,12.05,68.28,1.72,0,0.57,0,1.72,0.57,0,4.59,0,0,35,0,0.57,7.46,0,2.3
 60-70,0,0,0,0,4.91,0,0,41.22,3.93,9.82,58.89,10.8,0,0,0,2.94,0,4.91,0,150.17,2.94,11.78,53,1.96,0.98,2.94,0,0,0,0,13.74,0,0,8.83,0,2.94,1.96,0.98,2.94
 72-82,0,0,1.96,0,4.91,0.98,0,45.16,2.94,12.76,92.28,60.86,0,2.94,0,0,0.98,10.8,0,189.46,3.93,18.65,52.03,0.98,0.98,8.83,0,1.96,0,0,39.27,0,0,0.98,0,5.89,12.76,5.89,1.96
 84-94,0,0,1.06,0,8.5,1.06,1.06,65.85,1.06,10.62,52.04,100.89,0,2.12,1.06,1.06,2.12,14.87,0,109.39,9.56,7.43,30.8,4.25,0,5.31,0,1.06,1.06,0,92.4,0,0,5.31,0,3.19,1.06,5.31,0
 96-106,0,0,2.19,0,6.56,0,2.19,46.99,0,6.56,50.27,127.86,0,0,2.19,1.09,1.09,15.3,1.09,98.36,5.46,12.02,43.71,2.19,2.19,5.46,0,1.09,4.37,0,76.5,0,0,6.56,0,0,7.65,6.56,0
108-118,0,0,0,0,7.66,0,5.36,60.51,0,4.6,46.72,178.47,0,0.77,0,1.53,2.3,27.57,1.53,78.89,1.53,9.19,52.85,2.3,0.77,5.36,0,3.06,1.53,0,84.26,0,0,2.3,0.77,1.53,3.06,3.06,3.06
120,1.96,0,1.96,0,3.92,0,1.96,27.44,0,0,50.95,176.38,0,0,0,3.92,0,33.32,0,84.27,3.92,17.64,82.31,1.96,0,9.8,0,0,1.96,0,62.71,1.96,0,0,0,0,3.92,3.92,0
