stage,blastomeres,epidermis,erythrocytes,eye,glial,gut,heart,immune,iridophores,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,5,0,0,0,0,0,0,17,0,20,4,0,1,0,0,0,3,1,1,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,29.55,0,9.85,18.06,0,0.82,0,0,0,0,0.82,0.82,0,0.82,0
 36-46,0,0,0,0.81,0,0,0,0,0,11.28,0,3.22,37.87,0,0,0,0,0,0,0,1.61,0,0,0
 48-58,0,0,0,4.02,0,0,0,0,0.57,19.51,0.57,2.3,27.54,0,0.57,0,0,0,0,0,0,0,0,0
 60-70,0,0.98,0,5.89,0.98,0,0,0,0,17.67,0.98,0,75.58,0,0,0,0,0,0,0,0.98,1.96,0,0.98
 72-82,0,0,0,4.91,1.96,0,0.98,0,0,10.8,2.94,0.98,74.61,0,1.96,0,1.96,0,0,0,0.98,8.83,0,23.56
 84-94,0,0,0,15.93,2.12,1.06,0,1.06,0,7.43,5.31,1.06,56.29,0,0,0,1.06,0,0,0,0,5.31,0,29.74
 96-106,0,0,0,14.21,1.09,0,1.09,0,0,5.46,0,0,51.36,0,1.09,0,2.19,1.09,0,0,1.09,7.65,0,34.97
108-118,0,1.53,0,8.43,0.77,0.77,0.77,0.77,0,2.3,1.53,0.77,68.94,0.77,0.77,0,0,0,0,0,1.53,4.6,0,23.74
120,0,0,0,9.8,0,0,0,0,0,3.92,5.88,0,72.51,0,1.96,0,0,0,0,0,0,0,0,31.36
