stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,pgc,somites,spinal.cord,vasculature,xanthophores
  3-4,237.2,2978.21,0,0,0,0,0,0,0,0,0,0,0,0,131.78,0,0,0,0,0
  5-6,85.81,1060.43,0,0,0,0,0,0,6.13,0,0,30.65,0,6.13,30.65,0,0,0,0,0
  7-9,13.14,13.14,21.03,0,0,26.29,0,0,10.51,0,0,262.87,5.26,105.15,0,5.26,0,0,0,0
 10-12,0,3.15,6.29,0,0,6.29,0,0,9.44,0,0,135.32,12.59,40.91,0,6.29,0,0,0,0
 14-21,0,0,0,3,0,0,0,1,0,1,0,7,0,0,1,1,3,2,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,1.64,0.82,8.21,0,0,0,0,0,2.46,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.81,0,4.03,0,0,0,0,0,0.81,0,0
 48-58,0,0,0,0,0,1.72,0,0,0,0,0,1.72,0,0,0,0,0,0.57,0,0
 60-70,0,0,0,0,0,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0.98,0,0,0,0.98,0.98,2.94,0,0,0,0,0,0,0.98,0
 84-94,0,0,0,0,0,1.06,0,0,0,1.06,0,1.06,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,2.19,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0.77,0,0.77,0,0,0,0,0.77,0,0,0,0,0,0,0,0.77
120,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0
