stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,5.26,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,47.32,0,0,0,13.14,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,1,1,4,2,0,2,0,0,1,0,0,0,0,1,0,2,0,0,26,2,0,0,1,0,4,1,4,4,0,0,0,0
 24-34,0,0,0.82,1.64,0,0,69.77,0,0,0.82,0,0,0.82,0.82,0,0.82,8.21,0,3.28,45.97,0,0,0.82,0,2.46,0,0,2.46,21.34,0,0.82,0,0
 36-46,0,0,0,0.81,0,0,67.68,0,0,0,0,0,0,0,0,0,7.25,0,2.42,49.95,0.81,0,0,0,2.42,0,0,0,15.31,0,0.81,0,0
 48-58,0,0,0,0.57,0,0,40.74,0.57,0,0,0,0.57,0,0,0,0,6.31,1.15,0,14.35,0,0,0,0,0.57,0,0,0,4.59,0,0,0,0.57
 60-70,0,0,0,0,0,0,47.11,0,0,0,0,0,0,0,0,0,1.96,0,0,9.82,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,1.96,0,0,53.99,0,0.98,1.96,0,0,0,0,0,0,5.89,0,0.98,13.74,0,0,0,0,0.98,0,0,0,1.96,0,0,0,0
 84-94,0,0,0,0,1.06,0,52.04,0,0,0,0,0,0,0,0,0,4.25,0,0,7.43,1.06,1.06,0,0,1.06,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.09,1.09,36.06,0,0,0,0,0,1.09,0,0,0,6.56,1.09,1.09,3.28,0,0,0,0,0,0,0,0,0,0,0,1.09,0
108-118,0,0,0,0,0,0,50.55,0,0,0,0.77,0,0,0.77,0,0.77,5.36,0,0.77,4.6,0,0,0,0,0,0,0,0,0,0.77,0.77,0,0
120,0,0,0,0,1.96,0,35.28,0,0,1.96,0,0,0,0,0,0,5.88,0,0,7.84,0,0,0,0,0,0,0,0,0,0,1.96,0,0
