stage,axial,blastomeres,endoderm,epidermis,eye,glial,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,pgc,presomitic.mesoderm,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,10.51,0,5.26,2.63,0,0,0,0
 10-12,0,0,3.15,0,3.15,0,0,0,22.03,3.15,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0
 24-34,0,0,0,0,0,1.64,0.82,0,2.46,0,0,0,0,2.46,0,1.64
 36-46,0,0,0,0,0,0,0.81,0,0.81,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,1.15,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0
 72-82,0,0,0,0.98,1.96,0,0,0.98,1.96,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.09,1.09,0,1.09,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0,0.77,0
