stage,blastomeres,endoderm,epidermis,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,iridophores,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,7,0,1,0,0,1,0,0,0,0,1,0,0,4,16,3,0,0,0,0,2,0,1,10,0,0,0,0,0
 24-34,0,0,2.46,0,0.82,0,0,0.82,0,0,0,0,1.64,0,0,1.64,67.31,0.82,2.46,0.82,0,0,0,0.82,0,13.95,0,0,0.82,0,0
 36-46,0,0,0.81,0,12.09,0,0,3.22,0,0.81,0,0,4.83,0,0,0.81,71.7,0,0,0,0,0,0,0,0,22.56,0,0,0,0,0
 48-58,0,0,0.57,0,22.38,0,0.57,4.02,0,0,0,0.57,5.16,0,0,1.72,52.22,0.57,0.57,0,0,0,0,0,0,15.49,0,0.57,1.72,0,0.57
 60-70,0,0,0,0,32.39,0,0.98,11.78,0,0.98,0,0,4.91,0,0,3.93,51.04,0,0.98,0,0,0,0,0,0,7.85,0,0,0,0,0
 72-82,0,0,0.98,0,33.38,0,0.98,3.93,0,0,0,0,9.82,0,0,0.98,43.19,0,0,0,0,0.98,0,0,0,0.98,0,0,2.94,0,0
 84-94,0,0,1.06,0,26.55,0,1.06,5.31,0,0,0,0,7.43,0,1.06,1.06,19.12,0,0,1.06,0,0,0,0,0,2.12,0,0,1.06,1.06,0
 96-106,0,0,1.09,0,17.49,1.09,1.09,6.56,1.09,0,0,1.09,9.84,0,0,0,26.23,0,0,0,0,0,0,0,0,2.19,0,0,0,0,1.09
108-118,0,0,0.77,0.77,10.72,0,0,6.13,0,0,2.3,0,5.36,0.77,0,0,15.32,0.77,0.77,0,0,0,0,0,0,0,1.53,0.77,0,0.77,0
120,0,0,7.84,0,11.76,0,0,5.88,0,0,0,0,3.92,0,0,0,15.68,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0
