stage,erythrocytes,eye,glial,liver,mesenchyme,mural_cell,neural,notochord,olfactory,pronephros,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,3.15,0,0,0,0
 14-21,1,0,0,0,0,0,3,0,0,0,1,0
 24-34,0,0,0,0.82,0,0,2.46,0,0,0,0.82,1.64
 36-46,0,0.81,0,0,0.81,0,4.83,0,0,0.81,0.81,0.81
 48-58,0,0.57,0.57,0,0,0,1.72,0,1.15,0,0,0
 60-70,0,1.96,0,0,1.96,0,0,0,0.98,0,0,0
 72-82,0,0,0,0.98,0.98,0.98,1.96,0,0,0,0.98,0
 84-94,0,1.06,0,0,2.12,0,1.06,0,3.19,0,1.06,1.06
 96-106,0,0,2.19,0,0,0,4.37,0,4.37,1.09,0,1.09
108-118,0,1.53,0,0,0,0,3.06,0,3.83,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,1.96
