stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,2108.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.42,0,0,0,0,0,0,0,0,0,0
  5-6,91.94,937.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.78,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,5.26,0,0,0,7.89,0,0,0,2.63,0,0,0,0,0,0,0,0,126.18,0,0,0,42.06,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,72.38,0,0,0,25.18,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,3,5,2,0,1,0,0,0,0,2,0,0,0,1,0,0,2,30,1,0,0,0,0,0,2,0,2,4,5,0,2,0,0
 24-34,0,0,0,1.64,0.82,0,4.1,0,0,0,0,0,0,0,0,0.82,0,1.64,0,12.31,0,0.82,0.82,0,1.64,0,0,0,0,0.82,7.39,0,2.46,0,0
 36-46,0,0,0,0.81,0.81,0,8.06,0,4.03,0,0,0,0,0,0,0,0,4.83,0.81,22.56,0,0,0,0,0,0,0,0.81,0,0,2.42,0,2.42,0,0
 48-58,0,0,0,1.15,0,0,8.03,0.57,1.15,0,0,0,0,0,0,0,1.15,5.16,0,11.48,0,0,0,0,0.57,0,0,0,0,0,3.44,0,0,0,0.57
 60-70,0,0,0,0,1.96,0,5.89,0,5.89,0,0,0,0.98,0,0,0,0,4.91,0.98,23.56,0,0,0.98,0,0,0,0,0,0,0,3.93,0,0,0,0
 72-82,0,0,0,0,1.96,0,4.91,0,2.94,0,0,0,0,0,0,0,0,10.8,0,9.82,0,0.98,0,0,0,0,0,0,0,0,0.98,0,2.94,0,0.98
 84-94,0,0,0,0,4.25,0,8.5,0,2.12,0,0,0,0,0,0,0,0,4.25,0,5.31,0,1.06,0,0,0,0,0,1.06,0,0,2.12,0,2.12,1.06,0
 96-106,0,0,0,0,4.37,0,2.19,0,0,0,0,0,1.09,0,0,0,0,6.56,0,10.93,0,0,0,0,0,0,0,0,0,0,0,1.09,1.09,1.09,1.09
108-118,0,0,0,1.53,3.06,0.77,3.06,0,3.06,0.77,0,0,0,0.77,0.77,0,2.3,6.13,0.77,6.89,0,0,0.77,0,0,0,0,0.77,0,0,0,0,2.3,0,0.77
120,0,0,0,0,1.96,0,1.96,0,0,0,0,0,1.96,0,0,0,1.96,1.96,0,7.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
