stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,316.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,343.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,6.13,0,0,18.39,0,18.39,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,2.63,0,21.03,0,0,21.03,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,215.55,10.51,0,0,57.83,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,15.73,0,3.15,18.88,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,248.61,9.44,0,0,122.73,0,0,0,3.15,22.03,0,3.15,3.15,0,0,0,0,0
 14-21,0,0,0,5,36,7,8,0,0,0,2,3,1,2,0,0,0,0,0,1,23,0,13,142,3,0,1,4,0,1,1,33,1,0,19,53,0,0,3,0,0
 24-34,0,0,1.64,2.46,18.06,1.64,53.36,0,1.64,0.82,18.06,0.82,0,1.64,0,3.28,0,2.46,0.82,0,50.89,0,26.27,389.91,4.93,5.75,8.21,0,0,6.57,0,0,2.46,0.82,19.7,111.64,0,0,14.78,0,1.64
 36-46,0,0,0,0,7.25,0,60.43,0.81,0,0.81,16.11,2.42,0,0.81,0,0,0,1.61,1.61,0.81,38.67,0,12.89,150.66,1.61,3.22,3.22,0,0,11.28,0,0,0,0,0,35.45,0,0,2.42,0,0
 48-58,0,0,0,0,2.3,1.15,81.48,0,0.57,2.3,16.07,1.15,0,1.15,0,0,0.57,1.15,0,0.57,46.48,1.15,6.89,113.04,0.57,2.3,1.72,0,0,4.59,0,0,0.57,0,0,22.95,0,0.57,2.87,0,0.57
 60-70,0,0,0.98,0,1.96,0.98,96.19,0,0.98,2.94,25.52,1.96,0.98,0,0,0.98,1.96,1.96,0,0.98,99.13,0.98,11.78,132.51,0,2.94,4.91,0,0,7.85,0,0,3.93,0,0,14.72,0,0,6.87,0,0.98
 72-82,0,0,0,0,1.96,0.98,48.1,0.98,0.98,0.98,20.61,2.94,0,0.98,0,1.96,0.98,2.94,0,0,66.75,2.94,3.93,66.75,0,0,2.94,0,0.98,0.98,0,0,0.98,0,0,3.93,0,1.96,7.85,0.98,0.98
 84-94,0,0,0,0,12.74,0,35.05,0,0,1.06,9.56,3.19,0,1.06,2.12,0,0,2.12,0,0,45.67,1.06,6.37,38.23,0,1.06,4.25,0,0,7.43,0,0,0,0,0,6.37,1.06,3.19,5.31,2.12,1.06
 96-106,0,0,1.09,0,6.56,3.28,18.58,1.09,1.09,1.09,14.21,4.37,0,2.19,1.09,1.09,4.37,0,0,1.09,50.27,1.09,5.46,52.46,0,4.37,4.37,0,1.09,7.65,0,0,1.09,0,0,1.09,1.09,0,9.84,4.37,0
108-118,0,0,0,0,4.6,0,13.79,0,0,0,9.19,1.53,0,0,1.53,0,1.53,0,0.77,1.53,21.45,0.77,4.6,30.64,0,3.83,2.3,0,0,6.13,0,0,0.77,0,0,1.53,0.77,0,3.06,0.77,0.77
120,0,0,0,0,1.96,1.96,15.68,0,0,1.96,7.84,1.96,0,1.96,3.92,0,0,3.92,0,0,9.8,0,3.92,48.99,1.96,5.88,0,0,0,1.96,0,0,0,0,0,0,0,0,5.88,0,1.96
