stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,11,1,0,0,0,0,0,0,0,1,0,0,0,0,0,40,0,0,62,7,0,0,0,0,0,0,1,6,8,0,0,0,0,0
 24-34,0,0,96.04,0,1.64,0,0.82,0,0.82,0,0,1.64,0,0,2.46,0,0,155.96,0,0,68.13,23.8,0.82,0.82,0,0,9.85,0,2.46,0.82,10.67,0,0,2.46,0,0
 36-46,0,0,84.6,0,4.83,0,1.61,2.42,0.81,0,0,7.25,0,0,1.61,0,0,188.53,0,0.81,60.43,16.92,0,1.61,0,0,41.89,0,0.81,0,12.89,0,0.81,0.81,0,0
 48-58,0,0,83.78,0,16.64,0,2.3,12.62,3.44,0,0,7.46,0,0,0,0,0.57,265.67,1.72,0.57,44.18,36.15,0,0,0,0,97.55,0,0,0,14.35,0,2.3,1.15,0,0.57
 60-70,0,0,65.76,0,13.74,0,8.83,10.8,6.87,0,0,3.93,0.98,0,1.96,0,0,360.22,0,0.98,28.46,27.48,0,0,0.98,0,82.45,0,0.98,0,6.87,0,3.93,2.94,3.93,0
 72-82,0,0,88.35,2.94,22.58,2.94,11.78,12.76,5.89,1.96,0,1.96,1.96,0.98,1.96,0,0,456.47,3.93,5.89,26.5,22.58,0,0,0,0,141.36,0,0,0,8.83,0,7.85,6.87,5.89,0.98
 84-94,0,0,116.82,1.06,31.86,0,16.99,10.62,8.5,1.06,0,2.12,0,6.37,0,0,0,283.56,3.19,7.43,14.87,14.87,0,0,0,0,336.67,0,0,0,8.5,1.06,3.19,1.06,2.12,0
 96-106,1.09,0,142.07,0,21.86,1.09,21.86,9.84,4.37,0,0,3.28,0,4.37,0,1.09,0,279.77,3.28,2.19,8.74,29.51,2.19,1.09,0,0,198.9,0,0,0,7.65,0,4.37,1.09,3.28,0
108-118,0,0,125.62,0,16.85,0.77,22.21,12.26,3.83,0.77,0,1.53,0,4.6,0,0,0,237.45,3.06,0.77,9.19,23.74,0.77,0.77,0,0,76.6,0,1.53,0,2.3,0,6.89,2.3,0.77,0
120,0,0,84.27,1.96,5.88,0,13.72,3.92,3.92,0,0,0,0,0,0,0,0,188.14,0,0,9.8,5.88,1.96,0,0,0,17.64,0,1.96,0,0,1.96,3.92,1.96,3.92,0
