stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,3.15,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.06,6.29,0,0,9.44,0,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,0,1,1,0,1,0,0,0,0,0,0,7,0,2,0,0,0,0,7,0,0,0,5,4,0,0,4,0,0,1,0,3,1,0,0,0,0,0
 24-34,0,0,0.82,0,10.67,0,0,10.67,0,0,0,0.82,0,0,7.39,0,1.64,0.82,0,0.82,0,88.65,0,0,2.46,34.48,3.28,0,21.34,0,0,1.64,2.46,0,6.57,12.31,0,0,0,0,0.82
 36-46,0,0,0,0.81,10.47,0,0,107.15,0.81,0.81,0.81,12.89,0.81,0,4.03,0,0.81,0,0.81,0,0,236.06,0,0.81,12.09,66.06,1.61,0.81,16.92,0,0,0,0,0,0,15.31,0,0,0.81,0,0
 48-58,0,0,0,0,31.56,0,0,297.23,0.57,4.02,4.02,56.81,3.44,0,3.44,0,1.72,0,0,0.57,0.57,467.65,1.15,24.67,16.64,106.73,10.9,0,5.16,0,2.87,7.46,0.57,0.57,0,24.67,0,3.44,1.72,0,1.15
 60-70,0,0,0,0,39.26,0.98,0,270.9,0.98,5.89,5.89,123.67,7.85,0,3.93,0,5.89,0,1.96,4.91,0,578.12,0,43.19,16.69,96.19,29.45,0.98,2.94,0,3.93,4.91,2.94,0,0,27.48,0,34.35,4.91,13.74,1.96
 72-82,0,0,0.98,0,68.72,2.94,0,175.72,1.96,2.94,6.87,143.32,19.63,0.98,6.87,0.98,11.78,1.96,0,0,1.96,628.26,0.98,42.21,30.43,98.17,25.52,1.96,5.89,0,12.76,16.69,0.98,0,0,17.67,0,55.95,7.85,51.05,0
 84-94,0,0,0,0,95.58,0,0,234.71,2.12,8.5,4.25,86.03,45.67,0,13.81,4.25,21.24,3.19,0,1.06,6.37,396.14,1.06,41.42,8.5,52.04,39.3,5.31,9.56,0,7.43,65.85,5.31,1.06,0,15.93,0,54.16,4.25,46.73,1.06
 96-106,0,0,2.19,0,159.56,6.56,0,206.55,0,5.46,5.46,97.26,69.94,0,17.49,5.46,20.76,8.74,1.09,6.56,4.37,328.95,3.28,27.32,8.74,102.73,36.06,27.32,6.56,0,13.11,89.61,14.21,0,0,17.49,2.19,27.32,1.09,45.9,1.09
108-118,0.77,0,0.77,0.77,195.32,1.53,1.53,144,0,18.38,9.19,81.19,103.41,0,13.02,0.77,25.28,1.53,0.77,0.77,2.3,338.56,3.83,26.81,15.32,87.32,54.38,24.51,6.13,0,10.72,52.09,14.55,0,0,6.89,5.36,21.45,1.53,23.74,2.3
120,1.96,0,0,0,221.46,3.92,0,105.83,0,15.68,1.96,111.71,78.39,0,13.72,1.96,23.52,7.84,1.96,3.92,0,311.61,3.92,27.44,11.76,107.79,141.1,9.8,9.8,0,15.68,47.03,17.64,0,0,17.64,3.92,23.52,0,33.32,1.96
