stage,axial,blastomeres,endoderm,epidermis,eye,gut,hatching.gland,immune,iridophores,mesenchyme,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,26.36,421.69,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,24.52,551.67,0,0,0,0,0,0,0,0,6.13,6.13,0,6.13,18.39,0,0,0,0,0
  7-9,0,28.92,15.77,0,47.32,0,13.14,0,0,0,373.28,18.4,0,102.52,0,0,0,0,0,0
 10-12,0,6.29,9.44,0,37.76,0,0,0,0,0,191.97,3.15,0,103.85,0,3.15,3.15,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,2,1,0
 24-34,0,0,0,0,0.82,0,0,0,0,0.82,1.64,0,0.82,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0.81
 48-58,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0.98,0.98,0,0,0,0,0,0,0,0,0,2.94,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0.98,0.98,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.09,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0,0.77,0,0.77,0.77,0,0,0,0,0,0,0,0,0,0,0
