stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,171.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,13.14,0,10.51,0,0,0,23.66,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,220.81,7.89,0,0,89.38,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,15.73,0,37.76,0,0,0,34.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283.23,50.35,0,0,122.73,0,0,0,0,6.29,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,11,1,0,3,0,0,2,2,0,0,0,0,0,0,13,0,0,16,39,77,0,0,0,0,0,0,4,0,52,19,21,0,0,0,0
 24-34,0.82,0,0,0,1.64,0,0,0,0,0.82,0,0,0,2.46,0,0,0,0,17.24,0,0,13.95,14.78,1.64,0,3.28,0,0,0.82,0,0,0,0.82,0.82,2.46,0,0,0,0
 36-46,0,0,0,0,0,0,0,0.81,0,0.81,2.42,0,0,0,0,0,0.81,0,13.7,0,0.81,1.61,30.62,0.81,0,4.03,0,0,0.81,0,0,0,0,0,0.81,0,0,0,0
 48-58,0,0,0,0,1.72,0,0,0,0.57,0,0.57,0.57,0,0,0,0,0.57,0,8.61,0,0,0,26.97,0,0,4.59,0,0,0.57,0,0,0,0,0,1.15,0,0,0,0
 60-70,0,0,0.98,0,1.96,0,0,1.96,0,0.98,13.74,3.93,0,0,0,0,0.98,0,7.85,0,0,0.98,18.65,0,0,3.93,0,0,0.98,0,0,0,0,0,0.98,0.98,0,0,0
 72-82,0,0,0,0,0.98,0,0.98,6.87,0,2.94,46.14,7.85,0,0,0,0,1.96,0.98,10.8,0,0,1.96,25.52,0,0.98,9.82,0,0,0,0,0,0,0,0,0.98,0.98,1.96,0.98,1.96
 84-94,0,0,1.06,0,2.12,0,0,4.25,0,0,27.61,14.87,0,0,0,1.06,2.12,0,9.56,0,2.12,0,30.8,0,0,22.3,0,0,2.12,0,0,0,0,0,1.06,8.5,4.25,0,2.12
 96-106,0,0,1.09,0,4.37,0,1.09,6.56,0,0,46.99,16.39,0,0,0,1.09,9.84,1.09,13.11,1.09,0,0,27.32,0,0,30.6,0,2.19,6.56,0,0,0,0,0,0,25.14,2.19,0,2.19
108-118,0,0,0.77,0,0.77,0,3.06,4.6,0.77,0,28.34,26.81,0,0,0.77,0,4.6,0,7.66,0,0,1.53,19.15,0,0,19.92,0,0.77,5.36,0,0,0,0,0,0,40.6,0.77,0.77,1.53
120,0,0,0,0,1.96,1.96,3.92,7.84,0,1.96,25.48,29.4,0,0,0,0,3.92,0,1.96,0,0,0,13.72,0,0,27.44,0,0,1.96,0,0,0,0,0,0,13.72,0,0,1.96
