stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,6.29,0,0,0,59.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251.76,6.29,0,0,12.59,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,5,3,8,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,6,532,4,1,0,1,0,0,7,0,428,180,311,0,0,0
 24-34,0,0,8.21,0,4.93,0.82,0,12.31,0,0,0,15.6,0,0,0,0,0,0,0,0.82,0,5.75,0,0,4.93,916.08,0.82,0.82,0.82,0,5.75,0,0.82,0,182.23,13.13,198.65,0,2.46,0
 36-46,0,0,2.42,0,1.61,0.81,0,19.34,0,0,0,50.76,0,0,0,1.61,0,0,0,0,0,6.45,0.81,0,5.64,833.06,0,0.81,0,0,5.64,0,0,0,110.38,0,112.79,0,0.81,0
 48-58,0,0,4.02,0,4.02,1.72,0,32.71,0.57,1.15,0,59.1,0,0,0.57,0,0,0.57,1.15,0,0,9.75,0,0.57,5.74,612.25,0,1.15,0,0,1.72,0.57,0,0,94.1,0,111.32,0,1.15,0
 60-70,0,0,5.89,0,1.96,0,0,20.61,3.93,0.98,0,41.22,1.96,0,0,0.98,0,0,0,0,0,9.82,0,0,6.87,456.41,0.98,0,0.98,0,1.96,0,0,0,58.89,0,55.95,0,0,0
 72-82,0,0,21.6,0,6.87,2.94,0,50.06,0.98,0,0.98,72.64,0.98,0.98,0,0.98,0,0,0,0,0.98,16.69,0,0.98,5.89,449.6,0,0.98,0.98,0.98,1.96,0,0,0,39.27,0,63.81,0,0.98,0.98
 84-94,0,0,33.99,0,10.62,1.06,0,47.79,11.68,1.06,1.06,49.92,7.43,0,0,1.06,0,1.06,0,1.06,0,16.99,0,1.06,4.25,270.82,1.06,0,0,0,1.06,0,0,0,61.6,0,57.35,1.06,0,0
 96-106,0,0,38.25,1.09,6.56,4.37,1.09,46.99,12.02,1.09,0,57.92,6.56,0,1.09,2.19,1.09,0,0,0,0,19.67,0,0,5.46,215.29,0,1.09,0,1.09,5.46,1.09,0,0,74.31,0,79.78,0,1.09,2.19
108-118,0,0,28.34,0,3.83,0,0.77,17.62,13.02,0,0.77,57.45,4.6,0,0,0,0,0.77,0,0,0,6.13,0,0,6.13,296.43,0,0.77,0,0,1.53,0,0,0.77,54.38,0,42.13,0,0,0.77
120,1.96,0,17.64,0,13.72,1.96,0,19.6,11.76,0,0,66.63,3.92,0,0,0,0,0,1.96,3.92,0,7.84,0,0,13.72,315.53,1.96,0,1.96,0,3.92,0,1.96,0,27.44,0,43.12,0,0,0
