stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3,34,2,0,8,0,2,0,1,1,1,1,0,2,0,0,0,1,19,0,0,9,129,3,1,2,10,0,4,0,15,1,17,40,0,0,2,0,1
 24-34,0,0,0,5.75,0,0,13.13,0,0,1.64,2.46,0.82,0,0.82,0,1.64,0.82,1.64,0.82,1.64,21.34,0.82,0,7.39,159.25,0.82,4.1,4.93,0,0,11.49,0,0,0.82,2.46,27.91,0,0,3.28,0,1.64
 36-46,0,0,0,2.42,0,0,17.72,0,0,0,4.83,0.81,0,0,0.81,0,0,1.61,0.81,0,14.5,0.81,0,2.42,155.49,0,2.42,0.81,0,0,4.83,0,0,0.81,0,31.42,0,0,4.83,0,0.81
 48-58,0,0,0,1.15,0,0,31.56,0,0.57,1.15,12.62,0,0,0.57,0.57,0,0.57,0,0,0,30.41,0.57,0,2.87,154.35,0.57,1.72,1.15,0,0.57,1.15,0,0,0,0,34.43,0,0,0.57,0,0.57
 60-70,0,0,0,4.91,0,0,37.3,0.98,0,0,6.87,0,0,0,0,0,0.98,0,0.98,0.98,16.69,0,0,0.98,112.88,0,0,0,0,0,0.98,0,0,0,0,16.69,0,0,0,0,0
 72-82,0,1.96,0,3.93,0,0,43.19,0,0,2.94,23.56,0.98,0,0,0,0.98,0,0,0,0,31.41,0,1.96,5.89,93.26,0.98,1.96,2.94,0,0,5.89,0,0,0.98,0,14.72,0,0.98,4.91,3.93,0
 84-94,0,1.06,0,16.99,2.12,1.06,50.98,0,2.12,1.06,15.93,2.12,1.06,0,2.12,2.12,1.06,1.06,0,1.06,27.61,1.06,3.19,9.56,95.58,3.19,2.12,1.06,0,0,14.87,0,0,0,0,15.93,0,1.06,1.06,1.06,2.12
 96-106,0,2.19,0,12.02,2.19,1.09,51.36,0,2.19,1.09,31.69,1.09,0,2.19,3.28,0,1.09,2.19,1.09,0,30.6,3.28,1.09,3.28,97.26,0,6.56,8.74,0,0,14.21,1.09,0,0,0,7.65,1.09,5.46,4.37,2.19,2.19
108-118,0,0.77,0,22.21,0.77,1.53,41.36,0.77,5.36,2.3,31.4,0.77,0,0,2.3,1.53,3.06,4.6,1.53,0,38.3,1.53,0.77,12.26,125.62,1.53,3.83,5.36,0,1.53,7.66,0,0,0,0,7.66,0.77,2.3,3.83,3.06,4.6
120,1.96,0,0,19.6,0,0,19.6,0,3.92,0,17.64,3.92,0,0,0,0,1.96,3.92,0,1.96,29.4,0,3.92,5.88,82.31,1.96,1.96,3.92,0,0,17.64,0,0,1.96,0,0,1.96,0,5.88,3.92,1.96
