stage,endocrine.pancreas,epidermis,eye,fast.muscle,gut,lateral.line,liver,mesenchyme,muscle,neural,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0
 24-34,0,0,0,0,0,0,0,0.82,0,4.1,0,0,0,0,0,0,0.82,0
 36-46,0,0,0,0,0,0,0,0,0.81,4.83,0,0,0,0,0,0,0,0.81
 48-58,0,0,0,0,0,0,0,0.57,0,0,0,0,0,1.72,0,0,0,0
 60-70,0,0,0.98,0,2.94,0,0,0,0,2.94,0,0,0,0,0,0,0,0
 72-82,3.93,0,2.94,0.98,8.83,0,0.98,0,0,1.96,0,0,0,0,0,0.98,0,0
 84-94,4.25,0,0,0,14.87,0,5.31,1.06,0,2.12,0,0,0,0,0,0,0,0
 96-106,3.28,0,3.28,0,40.44,1.09,6.56,2.19,0,6.56,1.09,1.09,0,0,1.09,0,1.09,0
108-118,1.53,0,1.53,0,75.06,0,2.3,0.77,0,6.89,0,1.53,0.77,0.77,0,0,0,0
120,9.8,1.96,0,0,48.99,0,3.92,1.96,0,3.92,0,0,0,0,1.96,0,0,0
