stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,11,0,0
 24-34,0,0,0,0.82,0,0,2.46,0.82,0,0,0.82,0,0.82,0,0,0,1.64,0,1.64,21.34,0,0,0,1.64,0.82,0,33.66,0,0
 36-46,0,0,0,0.81,0,0,4.03,0,0.81,0.81,0,0,0.81,0,0,0,2.42,0,1.61,28.2,0.81,0,0,0.81,0,0,28.2,0,0.81
 48-58,0,0,0,1.15,0,0,9.18,0,0,6.89,0,0.57,0,0,0,0,2.3,1.72,0,42.46,0,0,0,0.57,0,0,25.25,0,0
 60-70,0,0,0,0,0,0,5.89,0,0,0.98,0,0.98,0,0,0,0.98,2.94,0,0,28.46,0.98,0,0,0,0,0,13.74,0,0
 72-82,0,0,0,0,0,0,3.93,0,0,0,0,0,0,0,0,0,4.91,0,0,27.49,0,0,0,0,0,0,11.78,0,0
 84-94,0,1.06,0,1.06,0,0,4.25,0,0,0,0,0,0,0,0,0,0,1.06,0,6.37,0,0,0,2.12,0,0,7.43,0,0
 96-106,0,0,0,0,1.09,0,2.19,1.09,0,2.19,2.19,1.09,0,1.09,1.09,0,1.09,0,0,8.74,0,0,0,1.09,0,0,9.84,0,0
108-118,0,0,0.77,0,0.77,0,2.3,0,0.77,1.53,0.77,0.77,0,0,0,0,2.3,0,0,20.68,0.77,0,0.77,0.77,0,0,3.83,0.77,0.77
120,0,0,0,1.96,0,1.96,0,0,0,0,0,3.92,0,0,0,0,1.96,1.96,1.96,29.4,0,0,0,0,0,0,7.84,0,0
