stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,2,0,0,0,0,4,1,0,0,0
 24-34,0,0,4.1,0.82,0,0,0,0,0,0.82,2.46,0,4.1,0,0,17.24,0,0.82,0,0,2.46,0,0,0,0,6.57,0,0,0,0
 36-46,0,0,1.61,0,0,0,0,0,0,0,1.61,0,13.7,0,0,17.72,0,0,0,0,1.61,0,0,0,0,5.64,0,0,0,0
 48-58,0,0,0,0,0,0,1.72,0,0,0,6.89,0,21.8,0,0,36.72,0,1.15,0,0,3.44,0,0,0,0,6.89,0,0,0,0
 60-70,0,0,0,0,0,0,2.94,0.98,0,0.98,10.8,0,26.5,0.98,0,53,0,0,0,0,4.91,0,0,0,0,4.91,0,0,0,0.98
 72-82,0,0,0,0,2.94,0,3.93,0,0,1.96,24.54,0,42.21,0,0,132.52,0,4.91,0.98,0,12.76,0,0,0.98,0.98,8.83,0.98,0,0,1.96
 84-94,0,1.06,4.25,1.06,0,0,4.25,0,0,2.12,32.92,0,59.47,0,1.06,475.79,1.06,5.31,0,0,14.87,0,0,0,1.06,22.3,1.06,1.06,0,0
 96-106,0,0,0,3.28,2.19,2.19,6.56,0,1.09,2.19,20.76,0,62.29,0,0,595.6,1.09,8.74,0,1.09,59.01,0,0,0,9.84,17.49,1.09,0,0,2.19
108-118,0,0,1.53,3.83,0,0.77,16.09,1.53,0,2.3,14.55,0.77,45.96,1.53,0,1306.73,0.77,6.13,0.77,3.06,59.75,1.53,0.77,0,5.36,10.72,0,0.77,0,3.06
120,0,1.96,0,5.88,0,0,5.88,0,0,1.96,7.84,0,60.75,0,0,562.46,0,1.96,0,1.96,33.32,0,0,0,0,7.84,0,0,1.96,1.96
