stage,blastomeres,eye,glial,immune,mesenchyme,muscle,neural,notochord,olfactory,pericytes,spinal.cord
  5-6,6.13,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1
 24-34,0,0,0,0,0,0,0.82,0,0,0,0
 36-46,0,0,0,0,1.61,0,7.25,0,0,0,2.42
 48-58,0,0,0,0,0,0,5.16,0,0,0,2.3
 60-70,0,2.94,0,0,0.98,0.98,9.82,0,0,0,0.98
 72-82,0,9.82,0.98,0,0,0,28.47,0,0,0,5.89
 84-94,0,2.12,0,0,1.06,0,7.43,0,0,0,0
 96-106,0,6.56,0,0,0,0,7.65,0,0,0,1.09
108-118,0,2.3,0.77,0,0,0,7.66,0,0,0.77,0.77
120,0,1.96,1.96,1.96,0,0,5.88,1.96,1.96,0,0
