stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,79.07,1555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.42,0,0,0,0,0,0,0,0,0,0,0
  5-6,67.43,1133.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,12.26,0,18.39,0,0,0,0,0,0,0,0,0,0,0
  7-9,31.54,21.03,0,18.4,0,0,39.43,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,333.85,18.4,0,0,115.66,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,25.18,0,3.15,34.62,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,261.2,9.44,0,0,72.38,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,20,3,13,0,1,0,5,1,0,1,0,0,0,0,0,1,12,1,0,9,125,3,2,0,0,0,3,0,12,2,0,9,45,0,0,2,0,0
 24-34,0,0,0,0,8.21,0.82,37.76,0,0,0,4.1,0.82,0,0,0.82,3.28,0,0,0,0.82,16.42,2.46,0,11.49,290.58,0,5.75,1.64,0,0,9.85,0,0,0.82,0,1.64,74.7,0,0,14.78,0,0
 36-46,0,0,0,0,5.64,0.81,75.73,0,0,0.81,11.28,0,0,0.81,0.81,0,0,0.81,0,0,24.17,0,0.81,9.67,445.54,0.81,2.42,0.81,0,0,8.86,0,0,0,0,0,104.74,0,0,2.42,0,0
 48-58,0,0,0,0,4.02,0,119.93,0.57,0.57,3.44,21.23,0,1.72,0,1.15,0.57,0.57,0.57,0,0.57,32.13,1.15,1.72,6.89,297.23,1.15,2.87,1.15,0,0.57,3.44,0,0,0,0.57,0,58.53,0,1.15,5.16,0.57,2.3
 60-70,0,0,0,0,4.91,0.98,214.95,0,2.94,2.94,20.61,0,0.98,0,3.93,0,0,1.96,0,0,34.35,0.98,0.98,8.83,318.01,1.96,1.96,0.98,0,0,10.8,0,0,0,0,0,39.26,0.98,1.96,2.94,0,0.98
 72-82,0,0,0.98,0.98,15.71,5.89,172.77,0.98,0,2.94,43.19,4.91,0,0.98,4.91,1.96,1.96,1.96,0.98,0,82.46,1.96,2.94,9.82,248.36,1.96,1.96,2.94,0,1.96,6.87,0,0,0.98,0.98,0,20.61,0.98,3.93,7.85,3.93,2.94
 84-94,1.06,0,0,0,14.87,5.31,94.52,0,3.19,1.06,15.93,5.31,1.06,0,5.31,2.12,1.06,2.12,0,0,52.04,1.06,2.12,3.19,148.69,0,4.25,2.12,0,0,24.43,0,0,2.12,0,0,18.05,3.19,0,5.31,0,0
 96-106,0,0,0,0,24.04,2.19,80.87,2.19,1.09,0,28.41,8.74,0,0,9.84,3.28,0,1.09,2.19,0,46.99,2.19,3.28,3.28,125.68,2.19,3.28,4.37,0,1.09,22.95,0,0,0,0,0,4.37,0,2.19,7.65,2.19,2.19
108-118,0,0,0.77,0,18.38,5.36,78.89,0.77,0.77,0.77,20.68,3.06,0,0,8.43,1.53,2.3,0.77,0,1.53,48.26,1.53,4.6,5.36,153.19,2.3,1.53,3.06,0,0,19.15,0,0,0.77,0,0,4.6,1.53,0,5.36,0,1.53
120,0,0,0,1.96,19.6,7.84,74.47,0,5.88,0,17.64,3.92,0,1.96,15.68,0,3.92,0,0,0,43.12,0,1.96,11.76,133.27,0,3.92,0,0,0,25.48,0,0,0,1.96,0,1.96,1.96,1.96,13.72,0,1.96
