stage,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,mesenchyme,mural.cell,muscle,neural,olfactory,otic,periderm,presomitic.mesoderm,spinal.cord,vascular.smooth.muscle,vasculature
 14-21,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0
 24-34,0,8.21,0.82,0,0,0,0.82,0.82,0,0.82,0,0.82,9.85,0,0.82,0,0,3.28,0,0.82
 36-46,0,4.03,0,0,0,0,0,0,0,0,0,0,4.03,0,0,0.81,0,1.61,0,0
 48-58,0,9.75,0,0,0,0,0,0,0,0.57,0,0.57,2.87,0.57,0,0,0,2.3,0,0
 60-70,0,19.63,0,0,0,0.98,0,0,0,0.98,0,0,5.89,0.98,0,0,0,0,0,0.98
 72-82,0.98,53.01,0.98,0.98,0.98,0,0,0,0,0,0.98,0,2.94,0.98,0,0,0,0,0,1.96
 84-94,0,44.61,0,0,1.06,1.06,0,0,0,0,0,1.06,1.06,0,0,1.06,0,0,1.06,0
 96-106,0,33.88,0,0,0,0,1.09,0,1.09,2.19,0,0,1.09,0,0,0,0,0,0,0
108-118,0,22.21,0,0,0,0,0,0,0,1.53,0,0,0.77,0,0,0,0,0,0,0
120,0,37.24,0,0,0,0,0,0,0,1.96,0,0,0,1.96,0,0,0,1.96,0,0
