stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,2,0,2,2,0,0,0
 24-34,0,0,0.82,0,0,1.64,0,2.46,0.82,0,0,0,0,0,0.82,0,0,0,1.64,13.95,0,0,0,0,0,4.1,0,0,0.82,4.1,1.64,0,0
 36-46,0,0,0,0.81,0.81,2.42,0,3.22,4.03,0.81,0,0,0,0,0,0,8.06,0,2.42,34.64,0,0.81,0,0,0,0.81,0,0,0,4.03,0,0,0
 48-58,0,0,0,1.72,0,2.87,0,4.02,6.31,0.57,0,0,0,0,0,0,12.62,0,1.15,41.89,0.57,0,0,0,0,1.15,0,0,0,3.44,0,0,0
 60-70,0,0,0,0,0,5.89,0,4.91,1.96,1.96,0,0.98,0,0,0,0,21.59,0,0.98,78.52,1.96,0,0,0,1.96,0.98,0,0,0,3.93,0,0,0.98
 72-82,0,0,0.98,0,0.98,11.78,0,2.94,6.87,2.94,0,0,0.98,0,0,0.98,26.5,1.96,1.96,60.86,1.96,0,0,0,0,13.74,0,0,0,0.98,2.94,0,0
 84-94,1.06,0,0,2.12,0,10.62,0,10.62,4.25,1.06,0,0,0,0,0,0,15.93,0,1.06,31.86,1.06,0,0,0,0,4.25,0,2.12,0,2.12,0,1.06,0
 96-106,0,0,0,2.19,0,7.65,2.19,7.65,4.37,1.09,2.19,0,0,0,0,0,10.93,0,0,38.25,0,1.09,1.09,0,1.09,48.09,0,0,0,0,1.09,1.09,0
108-118,0,0,0,3.06,0,5.36,0,9.19,6.13,1.53,0.77,0,0,0.77,0,0,9.96,0,0,26.81,0.77,0,0.77,0,0,17.62,0,0,0,0.77,0,0.77,0
120,0,0,0,1.96,1.96,5.88,0,3.92,1.96,1.96,1.96,0,0,1.96,0,0,11.76,0,0,35.28,0,0,1.96,0,0,9.8,0,1.96,0,0,0,1.96,0
