stage,axial,blastomeres,epidermis,eye,glial,neural,olfactory,spinal_cord,vasculature
  3-4,39.53,118.6,0,0,0,0,0,0,0
  5-6,0,36.78,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0
 10-12,0,0,0,3.15,0,3.15,0,0,0
 14-21,0,0,0,0,0,1,0,0,0
 24-34,0,0,0,0,0,0.82,0,0,0
 36-46,0,0,0,0.81,0,1.61,0,0,0
 48-58,0,0,0,0.57,1.72,0.57,0,0,0
 60-70,0,0,0,0,5.89,0,0,2.94,0
 72-82,0,0,0,0,11.78,0.98,0,0,0
 84-94,0,0,0,0,5.31,0,1.06,1.06,0
 96-106,0,0,0,1.09,7.65,2.19,0,1.09,1.09
108-118,0,0,0,0,4.6,0.77,0,1.53,0
120,0,0,1.96,0,1.96,1.96,0,0,0
