stage,blastomeres,epidermis,erythrocytes,eye,glial,hatching.gland,heart,iridophores,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,2.63,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,6.29,0,0,12.59,0,0,3.15,3.15,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,1,0,0,11,0,0,1,0,0,1,0,1,0,5,0,0
 24-34,0,0,0,3.28,1.64,0,3.28,0.82,0,1.64,0,0,15.6,0,0.82,0,0,0,0,0,4.1,0,27.09,0,2.46
 36-46,0,0,0.81,1.61,2.42,0,0,0,0,2.42,0,0,23.36,0,0,0,0.81,0,0,0,8.06,0,18.53,0,0
 48-58,0,0,0,2.3,1.72,0,2.3,0,0,1.72,0,0,9.18,0,0,0,0,0,0,0,2.3,0,16.07,0,0
 60-70,0,0,0,2.94,5.89,0,1.96,0,0,3.93,0,0.98,8.83,0.98,0,0,0,0,0,0,2.94,2.94,12.76,0,0
 72-82,0,0,0,4.91,5.89,0,0.98,0,0,8.83,0.98,0.98,1.96,0,0,0,0,0,0,0,0.98,0,40.25,0,0
 84-94,0,1.06,0,1.06,5.31,0,2.12,0,1.06,5.31,0,0,4.25,0,0,0,0,0,0,0,2.12,0,29.74,1.06,0
 96-106,0,2.19,0,2.19,3.28,0,1.09,0,0,8.74,1.09,0,4.37,0,1.09,0,0,0,0,0,1.09,1.09,20.76,1.09,0
108-118,0,0,0,1.53,5.36,0,0,0,0,6.89,0,0.77,0.77,0.77,0,0,0.77,0,0,0,0,0.77,26.81,0,0
120,0,0,0,0,1.96,0,0,0,0,3.92,0,0,5.88,0,0,0,0,0,0,0,0,0,19.6,0,0
