stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,20,0,0,0,1,0,0,6,0,0,0,0,0
 24-34,0,3.28,0.82,9.03,0,0,0,0,0,0,0,0,0,0,0.82,2.46,0,0,1.64,36.12,0.82,0.82,0.82,2.46,0,0,10.67,0,0,4.93,0,0
 36-46,0,0.81,0,10.47,0,0,2.42,0,0,1.61,0,0,0,0,3.22,4.83,0.81,0.81,1.61,37.87,0,0.81,0.81,1.61,0,0,11.28,0,0,1.61,0,2.42
 48-58,0,0,0,13.77,0.57,1.72,1.15,0,0,0,0,0,0,0,1.72,6.31,0.57,0,1.72,36.15,0,0,0,1.15,0,0,3.44,0,0,0.57,0,2.3
 60-70,0,1.96,0,13.74,0,0.98,6.87,0,0,0,0.98,0,0.98,0,0.98,11.78,0.98,0.98,4.91,28.46,0,0.98,0,0.98,0,0.98,3.93,0,0,0.98,0,1.96
 72-82,0,1.96,2.94,16.69,0,1.96,9.82,0,0,0,0.98,0,0,0,0,11.78,0,1.96,0.98,29.45,0,0.98,0.98,1.96,0,0,3.93,0,0,0.98,1.96,2.94
 84-94,0,1.06,2.12,10.62,1.06,0,2.12,1.06,1.06,0,0,0,2.12,0,1.06,9.56,0,1.06,0,16.99,0,0,2.12,4.25,0,0,0,1.06,1.06,1.06,1.06,7.43
 96-106,0,2.19,1.09,9.84,0,0,5.46,0,0,0,0,1.09,0,1.09,1.09,7.65,0,0,0,14.21,0,1.09,0,1.09,0,0,0,0,0,1.09,0,2.19
108-118,0.77,0.77,0,6.13,0.77,0,4.6,0.77,0,0,0.77,1.53,0,0.77,0.77,7.66,0,0.77,1.53,16.09,0,0,0.77,1.53,0,0,0.77,0,0.77,0.77,0,2.3
120,0,0,1.96,15.68,0,0,5.88,0,0,0,1.96,0,0,0,0,7.84,0,1.96,1.96,11.76,0,0,0,0,1.96,0,0,0,0,1.96,0,1.96
