stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,2,0,3,21,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,2.46,4.93,0,6.57,0,0,0,0,0,0,89.47,0,0,0,0.82,0,0.82,0,0,0.82,10.67,0,0,0,0,0.82,0,0.82,4.93,0,0,6.57,0,0
 36-46,0,0,0,0,0,0,28.2,0,0,0,0,0,0,115.21,0,0,0,0,0,0.81,0,0,1.61,10.47,0,0,0,0,0,0,0,8.06,0,0,7.25,0,0
 48-58,0,0,0,2.87,0.57,0,356.33,0,0.57,0.57,4.59,0,0,108.45,0,0.57,0.57,0,0,4.59,0,0,1.15,55.09,0.57,0.57,0.57,0,0.57,0,0,13.77,0,0,3.44,0,0.57
 60-70,0,0,0,1.96,0,0,1583.19,0,0.98,0,5.89,0,0.98,132.51,0,0,0,0,0,7.85,0,0.98,0.98,103.06,0,0,0,0,2.94,0,0,19.63,0,0.98,2.94,0,0
 72-82,0,0.98,0.98,20.61,5.89,0,2702.52,0.98,0.98,0,60.86,1.96,0.98,171.79,1.96,0,0.98,3.93,0.98,36.32,0,3.93,0.98,182.59,0,3.93,0,0,1.96,0,0,8.83,0,0.98,6.87,3.93,1.96
 84-94,0,0,0,31.86,2.12,0,1630.23,2.12,4.25,0,55.23,2.12,3.19,210.28,3.19,2.12,1.06,0,0,27.61,1.06,6.37,4.25,141.25,0,1.06,1.06,0,4.25,1.06,0,12.74,1.06,5.31,11.68,2.12,1.06
 96-106,0,2.19,0,21.86,14.21,1.09,1526.71,1.09,6.56,0,45.9,5.46,6.56,304.9,0,2.19,3.28,8.74,0,31.69,1.09,2.19,2.19,115.84,0,4.37,1.09,0,3.28,0,0,5.46,1.09,2.19,12.02,3.28,5.46
108-118,0,0,0.77,11.49,1.53,0,1037.88,0,1.53,1.53,20.68,3.06,0.77,208.34,0.77,2.3,0,9.96,0,12.26,0.77,3.06,3.83,105.7,0.77,1.53,1.53,1.53,0.77,1.53,0,5.36,1.53,0,2.3,0.77,0
120,0,0,0,13.72,3.92,0,805.47,1.96,0,1.96,27.44,0,0,229.29,1.96,5.88,0,3.92,0,13.72,0,3.92,5.88,146.98,1.96,1.96,3.92,0,1.96,0,0,3.92,0,1.96,3.92,0,0
