stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,18.88,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,1.64,0,0,0,14.78,0,0,0,0,0,2.46,0,0,0,0,0
 36-46,0,49.95,0,0,1.61,0,0.81,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0.81,29,0,0,0,0.81,0,4.83,0,0,0,0,0
 48-58,0,236.98,0,0,9.75,0,22.38,0,1.72,0,0.57,0.57,0,0.57,0,0,0.57,8.03,0,0,0,57.95,0,0,0,43.04,0,9.18,0,0,0,0,0
 60-70,0,370.03,0,0,16.69,0,25.52,0.98,1.96,0,0,0,1.96,0,0,0,0,10.8,6.87,0,0.98,63.8,0,0,0,91.28,0,3.93,0.98,0,0,0.98,1.96
 72-82,0,529.12,1.96,0,26.5,0,45.16,0.98,4.91,0,0,1.96,0,0,0,0.98,0,48.1,7.85,0.98,1.96,118.78,0.98,0,0,103.07,0,0.98,3.93,0,1.96,0.98,0
 84-94,0,902.73,1.06,0,7.43,0,76.47,0,4.25,1.06,0,2.12,3.19,0,0,0,0,26.55,13.81,1.06,1.06,86.03,0,1.06,1.06,266.57,1.06,2.12,35.05,0,1.06,2.12,0
 96-106,0,1070.99,6.56,1.09,13.11,1.09,91.8,1.09,15.3,10.93,1.09,5.46,4.37,0,3.28,1.09,0,45.9,20.76,2.19,1.09,98.36,0,0,0,170.48,0,0,54.64,2.19,1.09,1.09,0
108-118,0,680.18,1.53,0,15.32,0,52.85,2.3,7.66,13.79,0,3.06,7.66,0.77,0,0.77,0,30.64,9.19,0.77,1.53,89.62,0,1.53,0.77,166.98,0.77,0,79.66,0,0.77,0.77,0
120,0,415.47,3.92,0,9.8,0,35.28,0,9.8,5.88,0,7.84,1.96,0,0,0,0,37.24,1.96,1.96,0,80.35,0,0,0,43.12,0,0,21.56,0,1.96,1.96,0
