stage,blastomeres,eye,glial,melanocytes,mesenchyme,neural,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord
  3-4,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,5.26,0,0
 24-34,0,0,0,0,0,2.46,0,0,0,0.82,0.82
 36-46,0,0,0.81,0,0,3.22,0,0,0,0,0.81
 48-58,0,0,0,0,0,0.57,0.57,0.57,0,0,0.57
 60-70,0,0.98,0,0,0,0.98,0,0,0,0,0
 72-82,0,0.98,0,0,0,2.94,0,0,0,0,0
 84-94,0,1.06,0,0,0,5.31,0,0,0,0,0
 96-106,0,0,1.09,0,1.09,1.09,0,0,0,0,0
108-118,0,1.53,0,0.77,0,0.77,0,0,0,0.77,0
