stage,blastomeres,epidermis,eye,fin_mesenchyme,glial,hatching_gland,heart,mesenchyme,muscle,neural,paraxial_mesoderm,presomitic_mesoderm,spinal_cord
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,5.26,5.26,0,0
 10-12,0,0,6.29,0,0,3.15,0,0,0,9.44,3.15,0,0
 14-21,0,0,0,0,0,0,0,0,1,5,0,1,0
 24-34,0,0,0,0,0,0,0,0,0,2.46,0,0,0
 36-46,0,0.81,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0.57,0,0,0.57,0,1.15,0,0,0
 72-82,0,0,0,0,0,0,0,0,0.98,0,0,0,0
 84-94,0,0,0,0,0,0,0,1.06,0,2.12,0,0,0
 96-106,0,0,0,1.09,0,0,1.09,0,0,1.09,0,0,1.09
