stage,epidermis,eye,fin_epithelia,glial,gut,heart,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,periderm,pronephros,slow_muscle,spinal_cord,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0
 14-21,2,0,0,0,0,8,0,10,0,0,3,3,1,0,0,0,0,1,0
 24-34,2.46,0,0,0,0,13.13,0.82,0.82,0,0,1.64,7.39,0.82,0,0,0,0,0,0
 36-46,1.61,0,0,0,0,7.25,0,0.81,1.61,0,0,5.64,0,0,1.61,0,0.81,1.61,0
 48-58,2.3,0.57,0.57,0.57,0,6.31,0,0.57,0,0.57,0,2.3,0,0,1.15,0.57,0,1.15,0
 60-70,2.94,1.96,0,0,0,1.96,0,0,0,0,0,3.93,0,0.98,0.98,0,0,0,0
 72-82,0,0.98,0,0,1.96,0.98,0.98,0,0,0,0,0.98,0,0,0.98,0,0,0.98,0
 84-94,5.31,2.12,0,0,1.06,3.19,0,1.06,0,0,0,0,0,0,0,0,0,0,0
 96-106,2.19,0,0,1.09,0,1.09,0,1.09,0,0,0,1.09,0,1.09,2.19,0,1.09,1.09,1.09
108-118,10.72,0.77,0.77,0.77,1.53,1.53,0,0,0,0,0,0,0,0,0.77,0,0,0,0
120,3.92,0,0,0,1.96,0,0,0,0,0,0,1.96,0,0,0,1.96,0,0,0
