stage,blastomeres,epidermis,erythrocytes,eye,glial,hatching.gland,immune,ionocyte,liver,mesenchyme,mural.cell,neural,otic,paraxial.mesoderm,periderm,spinal.cord
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0
 14-21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0.81,0,0,0,0,0.81,0,0,0,0
 48-58,0,0,0,4.02,2.3,0,1.72,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,14.72,38.28,0,1.96,0,0,1.96,0,3.93,0,0,0,0
 72-82,0,0,0,18.65,94.24,0,2.94,0,0,4.91,0.98,1.96,0.98,0,0.98,1.96
 84-94,0,0,0,27.61,79.65,0,9.56,0,0,4.25,0,3.19,0,0,0,0
 96-106,0,1.09,1.09,21.86,130.05,1.09,5.46,0,0,5.46,0,8.74,0,0,0,1.09
108-118,0,0,0.77,9.96,91.92,0,8.43,0.77,0.77,2.3,0,9.19,0.77,0,0,0
120,0,0,0,13.72,72.51,0,9.8,0,0,0,0,3.92,0,0,0,0
